custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,cities' burden on distal resource suppliers,increased demand for resources from distant locations,yes,yes
request-1-0-1,increased demand for resources from distant locations,higher transportation emissions and energy consumption,yes,yes
request-1-0-2,higher transportation emissions and energy consumption,contribution to greenhouse gas emissions and climate change,yes,yes
request-1-0-3,contribution to greenhouse gas emissions and climate change,"exacerbation of environmental deficits in cities, such as air pollution and heat island effects",yes,yes
request-1-0-4,"exacerbation of environmental deficits in cities, such as air pollution and heat island effects",environmental deficits in cities <end>,yes,yes
request-1-1-0,cities' burden on distal resource suppliers,overexploitation of resources in distant locations,yes,yes
request-1-1-1,overexploitation of resources in distant locations,degradation of ecosystems and loss of biodiversity,yes,yes
request-1-1-2,degradation of ecosystems and loss of biodiversity,"reduced capacity of ecosystems to provide essential services, such as water filtration and carbon sequestration",yes,yes
request-1-1-3,"reduced capacity of ecosystems to provide essential services, such as water filtration and carbon sequestration",decreased resilience of cities to environmental changes and extreme events,yes,yes
request-1-1-4,decreased resilience of cities to environmental changes and extreme events,environmental deficits in cities <end>,yes,yes
request-1-2-0,cities' burden on distal resource suppliers,increased competition for resources between cities and local communities,yes,yes
request-1-2-1,increased competition for resources between cities and local communities,social conflicts and displacement of local populations,yes,yes
request-1-2-2,social conflicts and displacement of local populations,loss of traditional knowledge and practices for sustainable resource management,yes,yes
request-1-2-3,loss of traditional knowledge and practices for sustainable resource management,reduced capacity of cities to adapt to environmental changes and mitigate their impacts,yes,yes
request-1-2-4,reduced capacity of cities to adapt to environmental changes and mitigate their impacts,environmental deficits in cities <end>,yes,yes
request-1-3-0,cities' burden on distal resource suppliers,higher costs and risks associated with resource extraction and transportation,yes,yes
request-1-3-1,higher costs and risks associated with resource extraction and transportation,increased pressure on city budgets and infrastructure,yes,yes
request-1-3-2,increased pressure on city budgets and infrastructure,tradeoffs between environmental sustainability and economic development,yes,yes
request-1-3-3,tradeoffs between environmental sustainability and economic development,prioritization of shortterm economic gains over longterm environmental protection,yes,yes
request-1-3-4,prioritization of shortterm economic gains over longterm environmental protection,environmental deficits in cities <end>,yes,yes
request-1-4-0,cities' burden on distal resource suppliers,lack of transparency and accountability in resource supply chains,yes,yes
request-1-4-1,lack of transparency and accountability in resource supply chains,limited opportunities for public participation and oversight,yes,yes
request-1-4-2,limited opportunities for public participation and oversight,weak governance and enforcement of environmental regulations,yes,yes
request-1-4-3,weak governance and enforcement of environmental regulations,inadequate protection of ecosystems and communities affected by resource extraction and transportation,yes,yes
request-1-4-4,inadequate protection of ecosystems and communities affected by resource extraction and transportation,environmental deficits in cities <end>,yes,yes
request-2-0-0,business,emission of greenhouse gases,yes,no
request-2-0-1,emission of greenhouse gases,increase in atmospheric greenhouse gas concentrations,yes,no
request-2-0-2,increase in atmospheric greenhouse gas concentrations,enhanced greenhouse effect,yes,yes
request-2-0-3,enhanced greenhouse effect,global warming,yes,yes
request-2-0-4,global warming,climate change,yes,yes
request-2-1-0,business,deforestation for expansion,yes,yes
request-2-1-1,deforestation for expansion,reduced carbon sequestration,yes,yes
request-2-1-2,reduced carbon sequestration,increase in atmospheric carbon dioxide,yes,no
request-2-1-3,increase in atmospheric carbon dioxide,enhanced greenhouse effect,yes,no
request-2-1-4,enhanced greenhouse effect,global warming,yes,yes
request-2-1-5,global warming,climate change,yes,yes
request-2-2-0,business,energy consumption for operations,yes,yes
request-2-2-1,energy consumption for operations,dependence on fossil fuels,yes,yes
request-2-2-2,dependence on fossil fuels,emission of greenhouse gases,yes,no
request-2-2-3,emission of greenhouse gases,increase in atmospheric greenhouse gas concentrations,yes,no
request-2-2-4,increase in atmospheric greenhouse gas concentrations,enhanced greenhouse effect,yes,yes
request-2-2-5,enhanced greenhouse effect,global warming,yes,yes
request-2-2-6,global warming,climate change,yes,yes
request-2-3-0,business,production of goods,yes,yes
request-2-3-1,production of goods,generation of waste,yes,no
request-2-3-2,generation of waste,methane emissions from landfills,yes,no
request-2-3-3,methane emissions from landfills,increase in atmospheric methane concentrations,yes,no
request-2-3-4,increase in atmospheric methane concentrations,enhanced greenhouse effect,yes,yes
request-2-3-5,enhanced greenhouse effect,global warming,yes,yes
request-2-3-6,global warming,climate change,yes,yes
request-2-4-0,business,transportation of goods,yes,yes
request-2-4-1,transportation of goods,emission of greenhouse gases,yes,no
request-2-4-2,emission of greenhouse gases,increase in atmospheric greenhouse gas concentrations,yes,no
request-2-4-3,increase in atmospheric greenhouse gas concentrations,enhanced greenhouse effect,yes,yes
request-2-4-4,enhanced greenhouse effect,global warming,yes,yes
request-2-4-5,global warming,climate change,yes,yes
request-2-5-0,business,consumer demand for products,no,yes
request-2-5-1,consumer demand for products,resource extraction,yes,no
request-2-5-2,resource extraction,deforestation and habitat destruction,yes,no
request-2-5-3,deforestation and habitat destruction,loss of biodiversity,yes,no
request-2-5-4,loss of biodiversity,disruption of ecosystems,yes,yes
request-2-5-5,disruption of ecosystems,reduced carbon sequestration,yes,yes
request-2-5-6,reduced carbon sequestration,increase in atmospheric carbon dioxide,yes,no
request-2-5-7,increase in atmospheric carbon dioxide,enhanced greenhouse effect,yes,no
request-2-5-8,enhanced greenhouse effect,global warming,yes,yes
request-2-5-9,global warming,climate change,yes,yes
request-3-0-0,business,expansion of industrial activities,yes,yes
request-3-0-1,expansion of industrial activities,deforestation,yes,yes
request-3-0-2,deforestation,habitat destruction,yes,yes
request-3-0-3,habitat destruction,loss of biodiversity,yes,no
request-3-1-0,business,mining and resource extraction,yes,yes
request-3-1-1,mining and resource extraction,pollution of water and soil,yes,no
request-3-1-2,pollution of water and soil,degradation of ecosystems,yes,yes
request-3-1-3,degradation of ecosystems,loss of biodiversity,yes,yes
request-3-2-0,business,agricultural practices,yes,no
request-3-2-1,agricultural practices,use of pesticides and fertilizers,yes,no
request-3-2-2,use of pesticides and fertilizers,water and soil pollution,yes,no
request-3-2-3,water and soil pollution,loss of biodiversity,yes,yes
request-3-3-0,business,construction and infrastructure development,yes,yes
request-3-3-1,construction and infrastructure development,fragmentation of habitats,yes,no
request-3-3-2,fragmentation of habitats,reduction in species populations,yes,yes
request-3-3-3,reduction in species populations,loss of biodiversity,yes,yes
request-3-4-0,business,tourism and recreation,yes,yes
request-3-4-1,tourism and recreation,disturbance of wildlife and habitats,yes,no
request-3-4-2,disturbance of wildlife and habitats,disruption of ecosystems,yes,yes
request-3-4-3,disruption of ecosystems,loss of biodiversity,yes,yes
request-3-5-0,business,introduction of invasive species,yes,no
request-3-5-1,introduction of invasive species,competition with native species,yes,yes
request-3-5-2,competition with native species,reduction in native species populations,yes,no
request-3-5-3,reduction in native species populations,loss of biodiversity,yes,yes
request-3-6-0,business,climate change,yes,no
request-3-6-1,climate change,alteration of ecosystems,yes,yes
request-3-6-2,alteration of ecosystems,shifts in species distributions,yes,yes
request-3-6-3,shifts in species distributions,loss of biodiversity,yes,yes
request-4-0-0,business,exploitation of resources,yes,no
request-4-0-1,exploitation of resources,deforestation,yes,yes
request-4-0-2,deforestation,habitat loss,yes,no
request-4-0-3,habitat loss,loss of biodiversity,yes,no
request-4-0-4,loss of biodiversity,degradation of nature,yes,yes
request-4-1-0,business,industrialization,yes,yes
request-4-1-1,industrialization,pollution,yes,no
request-4-1-2,pollution,climate change,yes,no
request-4-1-3,climate change,natural disasters,yes,no
request-4-1-4,natural disasters,degradation of nature,yes,yes
request-4-2-0,business,consumer demand,no,yes
request-4-2-1,consumer demand,overproduction,no,no
request-4-2-2,overproduction,waste generation,yes,no
request-4-2-3,waste generation,pollution,yes,yes
request-4-2-4,pollution,degradation of nature,yes,yes
request-4-3-0,business,urbanization,yes,yes
request-4-3-1,urbanization,habitat destruction,yes,no
request-4-3-2,habitat destruction,loss of biodiversity,yes,no
request-4-3-3,loss of biodiversity,degradation of nature,yes,yes
request-4-4-0,business,mining,yes,yes
request-4-4-1,mining,soil erosion,yes,no
request-4-4-2,soil erosion,desertification,yes,yes
request-4-4-3,desertification,degradation of nature,yes,yes
request-4-5-0,business,agriculture,no,yes
request-4-5-1,agriculture,pesticide use,yes,no
request-4-5-2,pesticide use,water pollution,yes,no
request-4-5-3,water pollution,loss of aquatic life,yes,no
request-4-5-4,loss of aquatic life,degradation of nature,yes,yes
request-4-6-0,business,transportation,yes,no
request-4-6-1,transportation,air pollution,yes,no
request-4-6-2,air pollution,acid rain,no,no
request-4-6-3,acid rain,forest destruction,yes,no
request-4-6-4,forest destruction,degradation of nature,yes,yes
request-4-7-0,business,energy production,yes,yes
request-4-7-1,energy production,greenhouse gas emissions,yes,no
request-4-7-2,greenhouse gas emissions,global warming,yes,no
request-4-7-3,global warming,melting of ice caps,yes,no
request-4-7-4,melting of ice caps,degradation of nature,yes,yes
request-4-8-0,business,tourism,yes,yes
request-4-8-1,tourism,habitat destruction,yes,no
