custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,cities' burden on distal resource suppliers,depletion of natural resources,yes,yes
request-1-0-1,depletion of natural resources,increased pollution from resource extraction,yes,yes
request-1-0-2,increased pollution from resource extraction,environmental deficits in cities,yes,yes
request-1-1-0,cities' burden on distal resource suppliers,overexploitation of ecosystems,yes,yes
request-1-1-1,overexploitation of ecosystems,loss of biodiversity,yes,no
request-1-1-2,loss of biodiversity,disruption of ecosystem services,yes,yes
request-1-1-3,disruption of ecosystem services,environmental deficits in cities,yes,yes
request-1-2-0,cities' burden on distal resource suppliers,increased greenhouse gas emissions from transportation,yes,yes
request-1-2-1,increased greenhouse gas emissions from transportation,climate change,yes,no
request-1-2-2,climate change,extreme weather events,yes,no
request-1-2-3,extreme weather events,environmental deficits in cities,yes,yes
request-1-3-0,cities' burden on distal resource suppliers,water scarcity in resource supplier regions,yes,yes
request-1-3-1,water scarcity in resource supplier regions,decreased water quality,yes,yes
request-1-3-2,decreased water quality,water pollution in cities,no,yes
request-1-3-3,water pollution in cities,environmental deficits in cities,yes,yes
request-1-4-0,cities' burden on distal resource suppliers,land degradation in resource supplier regions,yes,yes
request-1-4-1,land degradation in resource supplier regions,soil erosion,no,yes
request-1-4-2,soil erosion,decreased air quality,yes,no
request-1-4-3,decreased air quality,environmental deficits in cities,yes,yes
request-1-5-0,cities' burden on distal resource suppliers,food insecurity in resource supplier regions,yes,yes
request-1-5-1,food insecurity in resource supplier regions,increased food waste,yes,yes
request-1-5-2,increased food waste,methane emissions from landfills,yes,no
request-1-5-3,methane emissions from landfills,environmental deficits in cities,yes,yes
request-1-5-4,environmental deficits in cities,,no,yes
request-2-0-0,business,deforestation,yes,yes
request-2-0-1,deforestation,habitat destruction,yes,no
request-2-0-2,habitat destruction,loss of biodiversity,yes,no
request-2-0-3,loss of biodiversity,disruption of ecosystem services,yes,yes
request-2-0-4,disruption of ecosystem services,climate change,yes,yes
request-2-1-0,business,industrial activities,yes,no
request-2-1-1,industrial activities,greenhouse gas emissions,yes,no
request-2-1-2,greenhouse gas emissions,global warming,yes,no
request-2-1-3,global warming,climate change,yes,no
request-2-2-0,business,fossil fuel extraction,yes,yes
request-2-2-1,fossil fuel extraction,burning of fossil fuels,no,yes
request-2-2-2,burning of fossil fuels,carbon dioxide emissions,yes,no
request-2-2-3,carbon dioxide emissions,global warming,yes,no
request-2-2-4,global warming,climate change,yes,no
request-2-3-0,business,supply chain management,yes,no
request-2-3-1,supply chain management,transportation of goods,yes,yes
request-2-3-2,transportation of goods,fuel combustion,yes,yes
request-2-3-3,fuel combustion,air pollution,yes,no
request-2-3-4,air pollution,climate change,yes,no
request-2-4-0,business,agriculture,no,yes
request-2-4-1,agriculture,land use changes,yes,no
request-2-4-2,land use changes,methane emissions,yes,no
request-2-4-3,methane emissions,global warming,yes,yes
request-2-4-4,global warming,climate change,yes,no
request-2-5-0,business,consumerism,yes,yes
request-2-5-1,consumerism,resource depletion,yes,no
request-2-5-2,resource depletion,waste generation,no,yes
request-2-5-3,waste generation,methane emissions from landfills,yes,no
request-2-5-4,methane emissions from landfills,climate change,yes,no
request-2-6-0,business,energy production,yes,yes
request-2-6-1,energy production,electricity generation,no,no
request-2-6-2,electricity generation,heat emissions,yes,yes
request-2-6-3,heat emissions,urban heat island effect,yes,yes
request-2-6-4,urban heat island effect,climate change,no,no
request-2-7-0,business,manufacturing,no,no
request-2-7-1,manufacturing,industrial processes,no,no
request-2-7-2,industrial processes,nitrous oxide emissions,yes,no
request-2-7-3,nitrous oxide emissions,ozone depletion,yes,no
request-2-7-4,ozone depletion,climate change,no,no
request-3-0-0,business,deforestation,yes,yes
