custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-1-0-0,companies and corporations,industrial emissions,yes,no,yes,no
request-1-0-1,industrial emissions,greenhouse gas accumulation,yes,no,yes,no
request-1-0-2,greenhouse gas accumulation,global temperature rise,yes,no,yes,no
request-1-0-3,global temperature rise,climate destabilization,yes,yes,yes,no
request-1-1-0,companies and corporations,deforestation practices,yes,no,yes,no
request-1-1-1,deforestation practices,carbon sink reduction,yes,no,yes,no
request-1-1-2,carbon sink reduction,atmospheric co₂ increase,yes,yes,no,yes
request-1-1-3,atmospheric co₂ increase,climate system disruption,yes,no,yes,no
request-1-2-0,companies and corporations,fossil fuel extraction,yes,no,yes,no
request-1-2-1,fossil fuel extraction,combustionrelated pollution,yes,no,yes,no
request-1-2-2,combustionrelated pollution,ocean acidification,yes,no,yes,no
request-1-2-3,ocean acidification,marine ecosystem collapse,yes,no,yes,no
request-1-2-4,marine ecosystem collapse,altered climate regulation,yes,yes,yes,yes
request-1-3-0,companies and corporations,plastic production,yes,no,yes,no
request-1-3-1,plastic production,microplastic contamination,yes,no,yes,no
request-1-3-2,microplastic contamination,soil and water toxicity,yes,no,yes,no
request-1-3-3,soil and water toxicity,reduced biodiversity,yes,yes,yes,yes
request-1-3-4,reduced biodiversity,ecosystemdriven climate feedbacks,yes,yes,yes,yes
request-1-4-0,companies and corporations,excessive resource consumption,yes,no,yes,no
request-1-4-1,excessive resource consumption,land degradation,yes,yes,yes,yes
request-1-4-2,land degradation,desertification,yes,yes,yes,no
request-1-4-3,desertification,regional precipitation shifts,yes,yes,yes,yes
request-1-4-4,regional precipitation shifts,climate pattern alteration,yes,yes,yes,yes
request-1-5-0,companies and corporations,refrigerant chemical use,yes,no,yes,no
request-1-5-1,refrigerant chemical use,hydrofluorocarbon  release,yes,yes,yes,no
request-1-5-2,hydrofluorocarbon  release,enhanced greenhouse effect,yes,no,yes,no
request-1-5-3,enhanced greenhouse effect,polar ice melt,yes,yes,yes,no
request-1-5-4,polar ice melt,sealevel risedriven climate impacts  ,yes,no,yes,no
request-2-0-0,buying from companies that mess the climate,increased revenue for climatedamaging companies,yes,no,yes,yes
request-2-0-1,increased revenue for climatedamaging companies,reinvestment in carbonintensive operations,yes,yes,yes,yes
request-2-0-2,reinvestment in carbonintensive operations,expansion of fossil fuel infrastructure,yes,yes,yes,yes
request-2-0-3,expansion of fossil fuel infrastructure,continued reliance on nonrenewable energy sources,yes,yes,yes,yes
request-2-0-4,continued reliance on nonrenewable energy sources,sustained greenhouse gas emissions,yes,yes,yes,no
request-2-0-5,sustained greenhouse gas emissions,reduced regulatory pressure due to economic dependence,yes,yes,yes,yes
request-2-0-6,reduced regulatory pressure due to economic dependence,maintenance of climatedamaging business models,yes,yes,yes,yes
request-2-0-7,maintenance of climatedamaging business models,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-1-0,buying from companies that mess the climate,consumer demand for environmentally harmful products,yes,yes,yes,yes
request-2-1-1,consumer demand for environmentally harmful products,maintenance of existing production practices,yes,no,yes,yes
request-2-1-2,maintenance of existing production practices,delayed adoption of sustainable alternatives,yes,yes,yes,yes
request-2-1-3,delayed adoption of sustainable alternatives,continued profitability of climatedamaging companies,yes,yes,yes,yes
request-2-1-4,continued profitability of climatedamaging companies,lack of market incentives for green innovation,yes,yes,yes,yes
request-2-1-5,lack of market incentives for green innovation,entrenchment of climatedamaging companies in the economy,yes,yes,yes,yes
request-2-1-6,entrenchment of climatedamaging companies in the economy,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-2-0,buying from companies that mess the climate,higher market valuation of climatedamaging companies,yes,yes,no,yes
request-2-2-1,higher market valuation of climatedamaging companies,increased investment in climatedamaging sectors,yes,yes,yes,yes
request-2-2-2,increased investment in climatedamaging sectors,prolonged operation of carbonintensive industries,yes,yes,yes,yes
request-2-2-3,prolonged operation of carbonintensive industries,delayed transition to sustainable practices,yes,yes,yes,yes
request-2-2-4,delayed transition to sustainable practices,persistent market presence of climatedamaging companies,yes,yes,yes,yes
request-2-2-5,persistent market presence of climatedamaging companies,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-3-0,buying from companies that mess the climate,revenue growth of climatedamaging companies,yes,yes,yes,no
request-2-3-1,revenue growth of climatedamaging companies,increased political lobbying by corporate entities,yes,yes,yes,no
request-2-3-2,increased political lobbying by corporate entities,weakened environmental regulations,yes,yes,yes,yes
request-2-3-3,weakened environmental regulations,continuation of environmentally harmful practices,yes,yes,yes,yes
request-2-3-4,continuation of environmentally harmful practices,sustained profitability of climatedamaging companies,no,yes,yes,yes
request-2-3-5,sustained profitability of climatedamaging companies,keeping of climatedamaging companies,yes,no,yes,yes
