custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,cities' burden on distal resource suppliers,depletion of natural resources,yes,yes
request-1-0-1,depletion of natural resources,increased pollution from resource extraction,yes,no
request-1-0-2,increased pollution from resource extraction,environmental deficits in cities,yes,yes
request-1-1-0,cities' burden on distal resource suppliers,overexploitation of ecosystems,yes,yes
request-1-1-1,overexploitation of ecosystems,loss of biodiversity,yes,"yes loss of biodiversity can lead to overexploitation of ecosystems because it disrupts the balance and resilience of ecosystems, making them more vulnerable to exploitation and less able to recover from disturbances"
request-1-1-2,loss of biodiversity,disruption of ecosystem services,yes,yes
request-1-1-3,disruption of ecosystem services,environmental deficits in cities,yes,yes
request-1-2-0,cities' burden on distal resource suppliers,increased greenhouse gas emissions from transportation,yes,yes
request-1-2-1,increased greenhouse gas emissions from transportation,climate change,yes,yes
request-1-2-2,climate change,extreme weather events,yes,no
request-1-2-3,extreme weather events,environmental deficits in cities,yes,no
request-1-3-0,cities' burden on distal resource suppliers,water scarcity in resource supplier regions,yes,yes
request-1-3-1,water scarcity in resource supplier regions,decreased water quality,yes,"no decreased water quality does not directly cause water scarcity, although it may exacerbate the challenges associated with water scarcity water scarcity refers to the lack of sufficient available water resources to meet the demands of water usage within a region, whereas water quality pertains to the chemical, physical, and biological characteristics of water and its suitability for a specific purpose poor water quality can lead to increased costs for water treatment and may affect the health of ecosystems and human populations, but it does not inherently reduce the quantity of water available"
request-1-3-2,decreased water quality,water pollution in cities,yes,yes
request-1-3-3,water pollution in cities,environmental deficits in cities,yes,yes
request-1-4-0,cities' burden on distal resource suppliers,land degradation in resource supplier regions,yes,yes
request-1-4-1,land degradation in resource supplier regions,soil erosion,"yes land degradation in resource supplier regions can lead to soil erosion soil erosion is a natural process that can be exacerbated by human activities such as deforestation, overgrazing, unsustainable farming practices, and poor land management when land degradation occurs, it often results in the loss of vegetation cover and soil structure, both of which are important for preventing erosion without adequate vegetation, the soil is more susceptible to being washed or blown away, which can lead to further degradation and reduced productivity of the land",yes
request-1-4-2,soil erosion,decreased air quality,no,no
request-1-4-3,decreased air quality,environmental deficits in cities,yes,yes
request-1-5-0,cities' burden on distal resource suppliers,food insecurity in resource supplier regions,yes,yes
request-1-5-1,food insecurity in resource supplier regions,increased food waste,no,yes
request-1-5-2,increased food waste,methane emissions from landfills,yes,no
request-1-5-3,methane emissions from landfills,environmental deficits in cities,yes,yes
request-1-5-4,environmental deficits in cities,,no,no
request-2-0-0,business,deforestation,yes,no
request-2-0-1,deforestation,habitat destruction,yes,yes
request-2-0-2,habitat destruction,loss of biodiversity,yes,no
request-2-0-3,loss of biodiversity,disruption of ecosystem services,yes,yes
request-2-0-4,disruption of ecosystem services,climate change,no,yes
request-2-1-0,business,industrial activities,yes,yes
request-2-1-1,industrial activities,greenhouse gas emissions,yes,no
request-2-1-2,greenhouse gas emissions,global warming,yes,no
request-2-1-3,global warming,climate change,yes,yes
request-2-2-0,business,fossil fuel extraction,yes,yes
request-2-2-1,fossil fuel extraction,burning of fossil fuels,no,no
request-2-2-2,burning of fossil fuels,carbon dioxide emissions,yes,no
request-2-2-3,carbon dioxide emissions,global warming,yes,no
request-2-2-4,global warming,climate change,yes,yes
request-2-3-0,business,supply chain management,yes,no
request-2-3-1,supply chain management,transportation of goods,yes,yes
request-2-3-2,transportation of goods,fuel combustion,yes,no
request-2-3-3,fuel combustion,air pollution,yes,no
request-2-3-4,air pollution,climate change,no,no
request-2-4-0,business,agriculture,no,no
request-2-4-1,agriculture,land use changes,yes,no
request-2-4-2,land use changes,methane emissions,yes,no
request-2-4-3,methane emissions,global warming,yes,no
request-2-4-4,global warming,climate change,yes,yes
request-2-5-0,business,consumerism,yes,no
request-2-5-1,consumerism,resource depletion,yes,no
request-2-5-2,resource depletion,waste generation,no,yes
request-2-5-3,waste generation,methane emissions from landfills,yes,"no methane emissions from landfills are a result of waste decomposition, not a cause of waste generation"
request-2-5-4,methane emissions from landfills,climate change,yes,yes
request-2-6-0,business,energy production,no,no
request-2-6-1,energy production,electricity generation,yes,yes
request-2-6-2,electricity generation,heat emissions,yes,no
request-2-6-3,heat emissions,urban heat island effect,yes,yes
request-2-6-4,urban heat island effect,climate change,no,yes
request-2-7-0,business,manufacturing,no,yes
request-2-7-1,manufacturing,industrial processes,yes,yes
request-2-7-2,industrial processes,nitrous oxide emissions,yes,no
request-2-7-3,nitrous oxide emissions,ozone depletion,no,no
request-2-7-4,ozone depletion,climate change,no,no
request-3-0-0,business,deforestation,yes,no
request-3-0-1,deforestation,habitat destruction,yes,yes
request-3-0-2,habitat destruction,loss of biodiversity,yes,no
request-3-1-0,business,pollution,yes,no
request-3-1-1,pollution,environmental degradation,yes,yes
request-3-1-2,environmental degradation,loss of biodiversity,yes,yes
request-3-2-0,business,overfishing,yes,no
request-3-2-1,overfishing,depletion of marine species,yes,yes
request-3-2-2,depletion of marine species,loss of biodiversity,yes,yes
request-3-3-0,business,climate change,no,no
request-3-3-1,climate change,changes in species distribution,yes,no
request-3-3-2,changes in species distribution,loss of biodiversity,yes,yes
request-3-4-0,business,land conversion,yes,no
request-3-4-1,land conversion,habitat fragmentation,yes,yes
request-3-4-2,habitat fragmentation,loss of biodiversity,yes,"no loss of biodiversity is a consequence of habitat fragmentation, but not a cause habitat fragmentation is the process that leads to the loss of biodiversity"
request-3-5-0,business,resource extraction,yes,yes
request-3-5-1,resource extraction,disruption of ecosystem processes,yes,no
request-3-5-2,disruption of ecosystem processes,loss of biodiversity,yes,yes
request-3-6-0,business,industrial agriculture,yes,no
request-3-6-1,industrial agriculture,monoculture practices,yes,yes
request-3-6-2,monoculture practices,loss of biodiversity,yes,no
request-3-7-0,business,urbanization,yes,no
request-3-7-1,urbanization,destruction of natural habitats,yes,no
request-3-7-2,destruction of natural habitats,loss of biodiversity,yes,yes
request-4-0-0,business,industrialization,yes,no
request-4-0-1,industrialization,deforestation,yes,no
request-4-0-2,deforestation,habitat destruction,yes,yes
request-4-0-3,habitat destruction,degradation of nature,yes,yes
request-4-1-0,business,resource extraction,yes,yes
request-4-1-1,resource extraction,environmental pollution,yes,no
request-4-1-2,environmental pollution,ecosystem disruption,yes,yes
request-4-1-3,ecosystem disruption,degradation of nature,yes,yes
request-4-2-0,business,factory construction,yes,yes
request-4-2-1,factory construction,industrial waste production,yes,no
request-4-2-2,industrial waste production,water pollution,yes,no
request-4-2-3,water pollution,degradation of nature,yes,yes
request-4-3-0,business,overconsumption of resources,yes,no
request-4-3-1,overconsumption of resources,unsustainable practices,yes,yes
request-4-3-2,unsustainable practices,climate change,yes,yes
request-4-3-3,climate change,degradation of nature,yes,yes
request-4-4-0,business,chemical usage,yes,no
request-4-4-1,chemical usage,soil contamination,yes,no
request-4-4-2,soil contamination,loss of biodiversity,yes,no
request-4-4-3,loss of biodiversity,degradation of nature,yes,yes
request-4-5-0,business,land acquisition,yes,no
request-4-5-1,land acquisition,displacement of wildlife,yes,no
request-4-5-2,displacement of wildlife,ecosystem imbalance,yes,yes
request-4-5-3,ecosystem imbalance,degradation of nature,yes,yes
request-4-6-0,business,energy production,no,no
request-4-6-1,energy production,greenhouse gas emissions,yes,no
request-4-6-2,greenhouse gas emissions,global warming,yes,no
request-4-6-3,global warming,degradation of nature,yes,yes
request-5-0-0,heat from gas emissions absorbed by oceans,increase in ocean temperature,yes,yes
request-5-0-1,increase in ocean temperature,thermal expansion of ocean water,yes,no
request-5-0-2,thermal expansion of ocean water,increase in ocean stratification,yes,yes
request-5-0-3,increase in ocean stratification,slowing of ocean vertical mixing,yes,yes slowing of ocean vertical mixing can lead to an increase in ocean stratification
request-5-1-0,heat from gas emissions absorbed by oceans,increase in ocean temperature,yes,yes
request-5-1-1,increase in ocean temperature,changes in ocean density,yes,no
request-5-1-2,changes in ocean density,increase in ocean stratification,yes,yes
