cause,effect,custom_id
cities' burden on distal resource suppliers,increased extraction of resources from distant suppliers,request-1-0-0
increased extraction of resources from distant suppliers,depletion of natural resources at the source,request-1-0-1
depletion of natural resources at the source,disruption of local ecosystems at the source,request-1-0-2
disruption of local ecosystems at the source,reduced capacity for natural resource regeneration,request-1-0-3
reduced capacity for natural resource regeneration,insufficient resources to meet city demands,request-1-0-4
insufficient resources to meet city demands,"overexploitation of alternative, closer resources",request-1-0-5
"overexploitation of alternative, closer resources",environmental degradation in and around cities,request-1-0-6
environmental degradation in and around cities,environmental deficits in cities,request-1-0-7
cities' burden on distal resource suppliers,increased transportation of resources to cities,request-1-1-0
increased transportation of resources to cities,higher emissions from transportation,request-1-1-1
higher emissions from transportation,air pollution in cities and along transport routes,request-1-1-2
air pollution in cities and along transport routes,negative health impacts on urban populations,request-1-1-3
negative health impacts on urban populations,increased waste generation from resource use,request-1-1-4
increased waste generation from resource use,inadequate waste management infrastructure,request-1-1-5
inadequate waste management infrastructure,accumulation of waste in urban environments,request-1-1-6
accumulation of waste in urban environments,pollution of urban ecosystems,request-1-1-7
pollution of urban ecosystems,environmental deficits in cities,request-1-1-8
cities' burden on distal resource suppliers,overextraction of water from distant sources,request-1-2-0
overextraction of water from distant sources,reduced water tables at the source,request-1-2-1
reduced water tables at the source,decreased water availability for ecosystems and local communities,request-1-2-2
decreased water availability for ecosystems and local communities,water scarcity in regions supplying cities,request-1-2-3
water scarcity in regions supplying cities,increased costs and energy for water transportation,request-1-2-4
increased costs and energy for water transportation,inefficient water use in cities due to scarcity mindset,request-1-2-5
inefficient water use in cities due to scarcity mindset,wastewater generation and improper disposal,request-1-2-6
wastewater generation and improper disposal,contamination of local water sources in cities,request-1-2-7
contamination of local water sources in cities,environmental deficits in cities,request-1-2-8
cities' burden on distal resource suppliers,habitat destruction at resource extraction sites,request-1-3-0
habitat destruction at resource extraction sites,loss of biodiversity in distant ecosystems,request-1-3-1
loss of biodiversity in distant ecosystems,disruption of ecosystem services,request-1-3-2
disruption of ecosystem services,reduced resilience of natural systems to support resource needs,request-1-3-3
reduced resilience of natural systems to support resource needs,"increased pressure to exploit new, potentially more sensitive areas",request-1-3-4
"increased pressure to exploit new, potentially more sensitive areas",further biodiversity loss with direct impacts on urban ecosystems,request-1-3-5
further biodiversity loss with direct impacts on urban ecosystems,degradation of urban green spaces and ecosystem services,request-1-3-6
degradation of urban green spaces and ecosystem services,environmental deficits in cities,request-1-3-7
cities' burden on distal resource suppliers,"increased greenhouse gas emissions from extraction, processing, and transport",request-1-4-0
"increased greenhouse gas emissions from extraction, processing, and transport",accelerated climate change,request-1-4-1
accelerated climate change,more frequent and severe weather events affecting cities,request-1-4-2
more frequent and severe weather events affecting cities,damage to urban infrastructure and ecosystems,request-1-4-3
damage to urban infrastructure and ecosystems,increased energy demand for heating/cooling in response to climate impacts,request-1-4-4
increased energy demand for heating/cooling in response to climate impacts,higher emissions from increased energy consumption,request-1-4-5
higher emissions from increased energy consumption,feedback loop amplifying climate change,request-1-4-6
feedback loop amplifying climate change,exacerbated environmental deficits in cities,request-1-4-7
exacerbated environmental deficits in cities,environmental deficits in cities,request-1-4-8
cities' burden on distal resource suppliers,economic strain on resourcesupplying regions,request-1-5-0
economic strain on resourcesupplying regions,social unrest or migration from affected areas,request-1-5-1
social unrest or migration from affected areas,increased demand for resources in cities due to population growth,request-1-5-2
increased demand for resources in cities due to population growth,strain on urban infrastructure and services,request-1-5-3
strain on urban infrastructure and services,inadequate investment in sustainable urban development,request-1-5-4
inadequate investment in sustainable urban development,proliferation of informal settlements with poor environmental conditions,request-1-5-5
proliferation of informal settlements with poor environmental conditions,environmental degradation in densely populated urban areas,request-1-5-6
environmental degradation in densely populated urban areas,environmental deficits in cities,request-1-5-7
business,industrialization,request-2-0-0
industrialization,increased energy demand,request-2-0-1
