custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,increased urbanization,this increased demand puts a greater burden on distal resource suppliers,yes,yes
request-1-0-1,this increased demand puts a greater burden on distal resource suppliers,"to meet this demand, suppliers increase resource extraction and production",yes,yes
request-1-0-2,"to meet this demand, suppliers increase resource extraction and production",increased extraction and production lead to environmental degradation in resourcerich areas,yes,yes
request-1-0-3,increased extraction and production lead to environmental degradation in resourcerich areas,"this degradation can include deforestation, soil erosion, and loss of biodiversity",yes,yes
request-1-0-4,"this degradation can include deforestation, soil erosion, and loss of biodiversity",environmental degradation in resourcerich areas can disrupt local ecosystems and climate patterns,yes,yes
request-1-0-5,environmental degradation in resourcerich areas can disrupt local ecosystems and climate patterns,these disruptions can lead to changes in weather patterns and increased frequency of extreme weather events,yes,yes
request-1-0-6,these disruptions can lead to changes in weather patterns and increased frequency of extreme weather events,"these extreme weather events can cause environmental deficits in cities, such as flooding, droughts, and heatwaves",yes,yes
request-1-1-0,increased urbanization,this increased demand puts a greater burden on distal resource suppliers,yes,yes
request-1-1-1,this increased demand puts a greater burden on distal resource suppliers,"to meet this demand, suppliers increase resource extraction and production",yes,yes
request-1-1-2,"to meet this demand, suppliers increase resource extraction and production",increased extraction and production lead to increased waste generation and pollution,yes,yes
request-1-1-3,increased extraction and production lead to increased waste generation and pollution,"this waste and pollution can accumulate in local waterways and soil, leading to environmental degradation",yes,yes
request-1-1-4,"this waste and pollution can accumulate in local waterways and soil, leading to environmental degradation",environmental degradation in resourcerich areas can disrupt local ecosystems and food chains,yes,yes
request-1-1-5,environmental degradation in resourcerich areas can disrupt local ecosystems and food chains,disruptions in food chains can lead to a decrease in local food availability and increased food prices,yes,yes
request-1-1-6,disruptions in food chains can lead to a decrease in local food availability and increased food prices,increased food prices and decreased availability can lead to food insecurity and malnutrition in cities,yes,yes
request-1-2-0,increased urbanization,this increased demand puts a greater burden on distal resource suppliers,yes,yes
request-1-2-1,this increased demand puts a greater burden on distal resource suppliers,"to meet this demand, suppliers increase resource extraction and production",yes,yes
request-1-2-2,"to meet this demand, suppliers increase resource extraction and production",increased extraction and production lead to increased energy consumption,yes,yes
request-1-2-3,increased extraction and production lead to increased energy consumption,increased energy consumption,yes,yes
