cause,effect,custom_id
cities' burden on distal resource suppliers,depletion of natural resources,request-1-0-0
depletion of natural resources,increased pollution from resource extraction,request-1-0-1
increased pollution from resource extraction,environmental deficits in cities,request-1-0-2
cities' burden on distal resource suppliers,overexploitation of ecosystems,request-1-1-0
overexploitation of ecosystems,loss of biodiversity,request-1-1-1
loss of biodiversity,disruption of ecosystem services,request-1-1-2
disruption of ecosystem services,environmental deficits in cities,request-1-1-3
cities' burden on distal resource suppliers,increased greenhouse gas emissions from transportation,request-1-2-0
increased greenhouse gas emissions from transportation,climate change,request-1-2-1
climate change,extreme weather events,request-1-2-2
extreme weather events,environmental deficits in cities,request-1-2-3
cities' burden on distal resource suppliers,water scarcity in resource supplier regions,request-1-3-0
water scarcity in resource supplier regions,decreased water quality,request-1-3-1
decreased water quality,water pollution in cities,request-1-3-2
water pollution in cities,environmental deficits in cities,request-1-3-3
cities' burden on distal resource suppliers,land degradation in resource supplier regions,request-1-4-0
land degradation in resource supplier regions,soil erosion,request-1-4-1
soil erosion,decreased air quality,request-1-4-2
decreased air quality,environmental deficits in cities,request-1-4-3
cities' burden on distal resource suppliers,food insecurity in resource supplier regions,request-1-5-0
food insecurity in resource supplier regions,increased food waste,request-1-5-1
increased food waste,methane emissions from landfills,request-1-5-2
methane emissions from landfills,environmental deficits in cities,request-1-5-3
environmental deficits in cities,,request-1-5-4
business,deforestation,request-2-0-0
deforestation,habitat destruction,request-2-0-1
habitat destruction,loss of biodiversity,request-2-0-2
loss of biodiversity,disruption of ecosystem services,request-2-0-3
disruption of ecosystem services,climate change,request-2-0-4
business,industrial activities,request-2-1-0
industrial activities,greenhouse gas emissions,request-2-1-1
greenhouse gas emissions,global warming,request-2-1-2
global warming,climate change,request-2-1-3
business,fossil fuel extraction,request-2-2-0
fossil fuel extraction,burning of fossil fuels,request-2-2-1
burning of fossil fuels,carbon dioxide emissions,request-2-2-2
carbon dioxide emissions,global warming,request-2-2-3
global warming,climate change,request-2-2-4
business,supply chain management,request-2-3-0
supply chain management,transportation of goods,request-2-3-1
transportation of goods,fuel combustion,request-2-3-2
fuel combustion,air pollution,request-2-3-3
air pollution,climate change,request-2-3-4
business,agriculture,request-2-4-0
agriculture,land use changes,request-2-4-1
land use changes,methane emissions,request-2-4-2
methane emissions,global warming,request-2-4-3
global warming,climate change,request-2-4-4
business,consumerism,request-2-5-0
consumerism,resource depletion,request-2-5-1
resource depletion,waste generation,request-2-5-2
waste generation,methane emissions from landfills,request-2-5-3
methane emissions from landfills,climate change,request-2-5-4
business,energy production,request-2-6-0
energy production,electricity generation,request-2-6-1
electricity generation,heat emissions,request-2-6-2
heat emissions,urban heat island effect,request-2-6-3
urban heat island effect,climate change,request-2-6-4
business,manufacturing,request-2-7-0
manufacturing,industrial processes,request-2-7-1
industrial processes,nitrous oxide emissions,request-2-7-2
nitrous oxide emissions,ozone depletion,request-2-7-3
ozone depletion,climate change,request-2-7-4
business,deforestation,request-3-0-0
deforestation,habitat destruction,request-3-0-1
habitat destruction,loss of biodiversity,request-3-0-2
business,pollution,request-3-1-0
pollution,environmental degradation,request-3-1-1
environmental degradation,loss of biodiversity,request-3-1-2
business,overfishing,request-3-2-0
overfishing,depletion of marine species,request-3-2-1
depletion of marine species,loss of biodiversity,request-3-2-2
business,climate change,request-3-3-0
climate change,changes in species distribution,request-3-3-1
changes in species distribution,loss of biodiversity,request-3-3-2
business,land conversion,request-3-4-0
land conversion,habitat fragmentation,request-3-4-1
habitat fragmentation,loss of biodiversity,request-3-4-2
business,resource extraction,request-3-5-0
resource extraction,disruption of ecosystem processes,request-3-5-1
disruption of ecosystem processes,loss of biodiversity,request-3-5-2
business,industrial agriculture,request-3-6-0
industrial agriculture,monoculture practices,request-3-6-1
monoculture practices,loss of biodiversity,request-3-6-2
business,urbanization,request-3-7-0
urbanization,destruction of natural habitats,request-3-7-1
destruction of natural habitats,loss of biodiversity,request-3-7-2
business,industrialization,request-4-0-0
