custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,cities' burden on distal resource suppliers,depletion of remote resources,yes,yes
request-1-0-1,depletion of remote resources,resource scarcity in supply markets,yes,yes
request-1-0-2,resource scarcity in supply markets,increased resource prices,yes,yes
request-1-0-3,increased resource prices,higher resource costs for cities,yes,yes
request-1-0-4,higher resource costs for cities,increased urban consumption,no,yes
request-1-0-5,increased urban consumption,increased waste production in cities,yes,no
request-1-0-6,increased waste production in cities,environmental deficits in cities,yes,yes
request-1-1-0,cities' burden on distal resource suppliers,overexploitation of remote ecosystems,yes,yes
request-1-1-1,overexploitation of remote ecosystems,loss of biodiversity,yes,no
request-1-1-2,loss of biodiversity,disruption of ecological balances,yes,yes
request-1-1-3,disruption of ecological balances,global climate changes,yes,yes
request-1-1-4,global climate changes,urban climate impacts,yes,"no urban climate impacts, often referred to as the urban heat island effect, contribute to local and regional climate changes but are not the primary drivers of global climate changes global climate changes are primarily driven by factors such as greenhouse gas emissions, deforestation, and other large-scale environmental changes"
request-1-1-5,urban climate impacts,environmental deficits in cities,yes,yes
request-1-2-0,cities' burden on distal resource suppliers,increased transportation of resources,yes,yes
request-1-2-1,increased transportation of resources,higher greenhouse gas emissions,yes,no
request-1-2-2,higher greenhouse gas emissions,acceleration of climate change,yes,yes
request-1-2-3,acceleration of climate change,increased frequency of extreme weather events,yes,yes
request-1-2-4,increased frequency of extreme weather events,urban infrastructure damage,yes,"no urban infrastructure damage is a consequence of extreme weather events, not a cause of their increased frequency"
request-1-2-5,urban infrastructure damage,environmental deficits in cities,"yes urban infrastructure damage, such as road, bridge, and building deterioration, can lead to environmental deficits in cities by causing increased pollution, waste, and resource consumption damaged infrastructure can also lead to inefficient transportation, which increases emissions and contributes to environmental degradation furthermore, the repair and maintenance of damaged infrastructure often require additional resources and energy, exacerbating the environmental impact",yes
request-1-3-0,cities' burden on distal resource suppliers,deforestation in supply regions,yes,yes
request-1-3-1,deforestation in supply regions,loss of carbon sinks,yes,no
request-1-3-2,loss of carbon sinks,elevated atmospheric co₂ levels,yes,no
request-1-3-3,elevated atmospheric co₂ levels,climate change impacts,yes,yes
request-1-3-4,climate change impacts,urban heat islands,yes,"yes urban heat islands contribute to local climate change impacts by increasing temperatures in cities compared to surrounding rural areas this can affect local weather patterns, energy consumption, and air quality"
request-1-3-5,urban heat islands,environmental deficits in cities,"yes urban heat islands contribute to environmental deficits in cities by increasing temperatures, which can lead to higher energy consumption, air pollution, and adverse health effects",yes
request-1-4-0,cities' burden on distal resource suppliers,pollution from extraction and transport,yes,yes
request-1-4-1,pollution from extraction and transport,global pollutant circulation,yes,yes
request-1-4-2,global pollutant circulation,urban pollution influx,yes,"yes urban pollution contributes to global pollutant circulation through various means, such as air and water currents that distribute pollutants over large distances"
request-1-4-3,urban pollution influx,degraded urban environments,yes,yes
request-1-4-4,degraded urban environments,environmental deficits in cities,yes,yes
request-1-5-0,cities' burden on distal resource suppliers,social instability in supply regions,yes,yes
request-1-5-1,social instability in supply regions,disruption of resource supplies,yes,yes
request-1-5-2,disruption of resource supplies,resource shortages in cities,yes,yes
request-1-5-3,resource shortages in cities,compromised urban services,yes,yes
request-1-5-4,compromised urban services,environmental deficits in cities,yes,yes
request-2-0-0,business,industrial activities,yes,yes
request-2-0-1,industrial activities,greenhouse gas emissions,yes,no
request-2-0-2,greenhouse gas emissions,climate change,yes,no
request-2-1-0,business,fossil fuel consumption,yes,no
request-2-1-1,fossil fuel consumption,carbon dioxide emissions,yes,no
request-2-1-2,carbon dioxide emissions,climate change,yes,no
request-2-2-0,business,deforestation,yes,no
request-2-2-1,deforestation,loss of carbon sinks,yes,no
request-2-2-2,loss of carbon sinks,increased atmospheric co2,yes,no
request-2-2-3,increased atmospheric co2,climate change,yes,yes
request-2-3-0,business,energy production,no,no
request-2-3-1,energy production,burning of fossil fuels,no,yes
request-2-3-2,burning of fossil fuels,greenhouse gas accumulation,yes,no
request-2-3-3,greenhouse gas accumulation,climate change,yes,yes
request-2-4-0,business,transportation needs,yes,no
request-2-4-1,transportation needs,vehicle emissions,yes,no
request-2-4-2,vehicle emissions,air pollution,yes,no
request-2-4-3,air pollution,climate change,no,no
request-2-5-0,business,manufacturing processes,yes,yes
request-2-5-1,manufacturing processes,methane emissions,yes,no
request-2-5-2,methane emissions,climate change,yes,yes
request-2-6-0,business,agricultural expansion,yes,yes
request-2-6-1,agricultural expansion,nitrous oxide emissions,yes,no
request-2-6-2,nitrous oxide emissions,greenhouse gas build-up,yes,yes
request-2-6-3,greenhouse gas build-up,climate change,yes,yes
request-2-7-0,business,waste generation,yes,no
request-2-7-1,waste generation,landfill methane emissions,yes,"no landfill methane emissions are a result of waste decomposition, not a cause of waste generation waste generation is the process of creating waste, which then may end up in landfills where methane is produced"
request-2-7-2,landfill methane emissions,climate change,yes,"no landfill methane emissions are a result of the decomposition of organic waste under anaerobic conditions in landfills, which is a separate issue from climate change climate change is influenced by a wide variety of factors, including greenhouse gas emissions from various sources, but landfill methane is a specific type of emission that contributes to global warming"
request-2-8-0,business,overfishing,yes,no
request-2-8-1,overfishing,disruption of oceanic carbon sinks,yes,no
request-2-8-2,disruption of oceanic carbon sinks,elevated co2 levels,yes,"yes elevated co2 levels can cause disruption of oceanic carbon sinks by reducing the ocean's capacity to absorb co2, leading to ocean acidification and affecting marine life and ecosystems"
request-2-8-3,elevated co2 levels,climate change,yes,yes
request-2-9-0,business,cement production,yes,yes
request-2-9-1,cement production,carbon dioxide release,yes,no
request-2-9-2,carbon dioxide release,climate change,yes,yes
request-2-10-0,business,chemical manufacturing,yes,yes
request-2-10-1,chemical manufacturing,fluorinated gas emissions,yes,no
request-2-10-2,fluorinated gas emissions,greenhouse effect enhancement,yes,no
request-2-10-3,greenhouse effect enhancement,climate change,yes,yes
request-2-11-0,business,industrial deforestation,yes,no
request-2-11-1,industrial deforestation,habitat loss,yes,no
request-2-11-2,habitat loss,biodiversity decline,yes,yes
request-2-11-3,biodiversity decline,ecosystem imbalance,yes,yes
request-2-11-4,ecosystem imbalance,climate change,yes,yes
request-2-12-0,business,increased energy demand,yes,no
request-2-12-1,increased energy demand,reliance on non-renewable resources,yes,yes
request-2-12-2,reliance on non-renewable resources,greenhouse gas emissions,yes,yes
request-2-12-3,greenhouse gas emissions,climate change,yes,no
request-2-13-0,business,product distribution,yes,no
request-2-13-1,product distribution,transportation emissions,yes,yes
request-2-13-2,transportation emissions,global warming,yes,no
request-2-13-3,global warming,climate change,yes,yes
request-2-14-0,business,technological development,yes,no
request-2-14-1,technological development,increased electricity usage,yes,no
request-2-14-2,increased electricity usage,fossil fuel burning,no,no
request-2-14-3,fossil fuel burning,climate change,yes,no
request-2-15-0,business,mining activities,yes,yes
request-2-15-1,mining activities,land degradation,yes,no
request-2-15-2,land degradation,altered carbon cycles,"yes land degradation can lead to changes in vegetation cover and soil composition, which in turn can affect the carbon cycle by altering the amount of carbon stored in soils and vegetation this can lead to increased carbon dioxide emissions, contributing to climate change","yes altered carbon cycles can contribute to land degradation by affecting soil health, water availability, and plant growth, which are critical factors in maintaining land productivity and stability"
request-2-15-3,altered carbon cycles,climate change,yes,yes
request-2-16-0,business,industrial refrigeration,yes,no
request-2-16-1,industrial refrigeration,hydrofluorocarbon emissions,"no industrial refrigeration does not cause hydrofluorocarbon emissions directly however, it can contribute to the demand for refrigerants that may contain hydrofluorocarbons (hfcs) if they are used as a refrigerant if the refrigerants are leaked, they can contribute to greenhouse gas emissions",yes
request-2-16-2,hydrofluorocarbon emissions,enhanced greenhouse effect,yes,no
request-2-16-3,enhanced greenhouse effect,climate change,yes,yes
request-2-17-0,business,synthetic fertilizer production,yes,yes
request-2-17-1,synthetic fertilizer production,nitrous oxide emissions,yes,no
request-2-17-2,nitrous oxide emissions,greenhouse gas accumulation,yes,yes
request-2-17-3,greenhouse gas accumulation,climate change,yes,yes
request-2-18-0,business,livestock farming,yes,yes
request-2-18-1,livestock farming,methane production,yes,yes
request-2-18-2,methane production,greenhouse gas increase,yes,yes
request-2-18-3,greenhouse gas increase,climate change,yes,yes
request-2-19-0,business,consumerism,yes,no
request-2-19-1,consumerism,overproduction,yes,no
request-2-19-2,overproduction,resource depletion,yes,no
request-2-19-3,resource depletion,environmental stress,yes,yes
request-2-19-4,environmental stress,climate change,no,yes
request-3-0-0,business,deforestation,yes,no
request-3-0-1,deforestation,habitat loss,yes,yes
request-3-0-2,habitat loss,loss of biodiversity,yes,no
request-3-1-0,business,industrial pollution,yes,no
request-3-1-1,industrial pollution,environmental degradation,yes,no
request-3-1-2,environmental degradation,loss of biodiversity,yes,yes
request-3-2-0,business,overfishing,yes,no
request-3-2-1,overfishing,marine species decline,yes,yes
request-3-2-2,marine species decline,loss of biodiversity,yes,yes
request-3-3-0,business,urban expansion,yes,yes
request-3-3-1,urban expansion,habitat fragmentation,yes,no
request-3-3-2,habitat fragmentation,loss of biodiversity,yes,"no loss of biodiversity is a consequence of habitat fragmentation, but not a cause habitat fragmentation is the process that leads to the loss of biodiversity"
request-3-4-0,business,agricultural intensification,yes,no
request-3-4-1,agricultural intensification,pesticide use,yes,"yes pesticide use is often a component of agricultural intensification, as it can increase crop yields and reduce losses from pests and diseases, allowing for more intensive farming practices"
request-3-4-2,pesticide use,species decline,yes,no
request-3-4-3,species decline,loss of biodiversity,yes,yes
request-3-5-0,business,mining operations,yes,yes
request-3-5-1,mining operations,soil erosion,yes,no
request-3-5-2,soil erosion,loss of biodiversity,yes,no
request-3-6-0,business,climate change emissions,yes,no
request-3-6-1,climate change emissions,global warming,yes,no
request-3-6-2,global warming,ecosystem disruption,yes,yes
request-3-6-3,ecosystem disruption,loss of biodiversity,yes,yes
request-3-7-0,business,invasive species introduction,yes,yes
request-3-7-1,invasive species introduction,native species displacement,yes,no
request-3-7-2,native species displacement,loss of biodiversity,yes,yes
request-3-8-0,business,plastic pollution,yes,no
request-3-8-1,plastic pollution,marine life harm,yes,yes
request-3-8-2,marine life harm,loss of biodiversity,yes,yes
request-3-9-0,business,oil spills,no,no
request-3-9-1,oil spills,water contamination,yes,no
request-3-9-2,water contamination,loss of biodiversity,yes,no
request-3-10-0,business,logging,yes,no
request-3-10-1,logging,forest degradation,yes,no
request-3-10-2,forest degradation,loss of biodiversity,yes,yes
request-3-11-0,business,resource extraction,yes,yes
request-3-11-1,resource extraction,ecosystem imbalance,yes,no
request-3-11-2,ecosystem imbalance,loss of biodiversity,yes,yes
request-3-12-0,business,chemical waste disposal,yes,no
request-3-12-1,chemical waste disposal,soil contamination,yes,no
request-3-12-2,soil contamination,loss of biodiversity,yes,no
request-3-13-0,business,water extraction,yes,no
request-3-13-1,water extraction,wetland depletion,yes,no
request-3-13-2,wetland depletion,loss of biodiversity,yes,no
request-3-14-0,business,air pollution,yes,no
request-3-14-1,air pollution,acid rain,yes,yes
request-3-14-2,acid rain,forest damage,yes,"no forest damage does not cause acid rain; however, acid rain can cause forest damage acid rain is primarily caused by the release of sulfur dioxide (so2) and nitrogen oxides (nox) into the atmosphere, which then react with water vapor to form sulfuric and nitric acids these chemicals can then fall as precipitation, causing harm to forests and other ecosystems"
request-3-14-3,forest damage,loss of biodiversity,yes,yes
request-4-0-0,business,industrial activities,yes,yes
request-4-0-1,industrial activities,pollution,yes,no
request-4-0-2,pollution,degradation of nature,yes,yes
request-4-1-0,business,deforestation,yes,no
request-4-1-1,deforestation,habitat destruction,yes,yes
request-4-1-2,habitat destruction,loss of biodiversity,yes,no
request-4-1-3,loss of biodiversity,degradation of nature,yes,yes
request-4-2-0,business,greenhouse gas emissions,yes,no
request-4-2-1,greenhouse gas emissions,global warming,yes,no
request-4-2-2,global warming,climate change,yes,yes
request-4-2-3,climate change,degradation of nature,yes,yes
request-4-3-0,business,overfishing,yes,no
request-4-3-1,overfishing,marine ecosystem disruption,yes,yes
request-4-3-2,marine ecosystem disruption,degradation of nature,yes,yes
request-4-4-0,business,mining operations,yes,yes
request-4-4-1,mining operations,soil erosion,yes,no
request-4-4-2,soil erosion,land degradation,yes,yes
request-4-4-3,land degradation,degradation of nature,yes,yes
request-4-5-0,business,use of pesticides,yes,no
request-4-5-1,use of pesticides,water contamination,yes,no
request-4-5-2,water contamination,harm to aquatic life,yes,yes
request-4-5-3,harm to aquatic life,degradation of nature,yes,yes
request-4-6-0,business,plastic production,yes,yes
request-4-6-1,plastic production,plastic pollution,yes,no
request-4-6-2,plastic pollution,wildlife endangerment,yes,no
request-4-6-3,wildlife endangerment,degradation of nature,yes,yes
request-4-7-0,business,urban development,yes,no
request-4-7-1,urban development,loss of natural habitats,yes,yes
request-4-7-2,loss of natural habitats,ecosystem imbalance,yes,yes
request-4-7-3,ecosystem imbalance,degradation of nature,yes,yes
request-4-8-0,business,fossil fuel consumption,yes,no
request-4-8-1,fossil fuel consumption,air pollution,yes,no
request-4-8-2,air pollution,acid rain formation,yes,yes
request-4-8-3,acid rain formation,degradation of nature,yes,yes
request-4-9-0,business,industrial waste disposal,yes,no
request-4-9-1,industrial waste disposal,toxic landfill accumulation,yes,no
request-4-9-2,toxic landfill accumulation,soil contamination,yes,yes
request-4-9-3,soil contamination,degradation of nature,yes,yes
request-5-0-0,heat from gas emissions absorbed by oceans,ocean surface warming,yes,no
request-5-0-1,ocean surface warming,increased thermal stratification,yes,no
request-5-0-2,increased thermal stratification,slowing of ocean vertical mixing,yes,"yes slowing of ocean vertical mixing can lead to increased thermal stratification, as it reduces the transport of heat from the surface to deeper layers, resulting in a more pronounced layering of water temperatures with warmer water above cooler water"
request-5-1-0,heat from gas emissions absorbed by oceans,melting of polar ice caps,yes,no
request-5-1-1,melting of polar ice caps,freshwater influx into oceans,yes,"no freshwater influx into oceans does not cause melting of polar ice caps the primary cause of polar ice cap melting is the increase in ocean temperatures due to global warming freshwater influx can affect ocean currents and salinity levels, but it does not directly cause ice caps to melt"
request-5-1-2,freshwater influx into oceans,decreased surface salinity,yes,"no decreased surface salinity generally indicates an increase in freshwater influx, not a decrease freshwater influx would dilute the salt concentration, thus decreasing salinity"
request-5-1-3,decreased surface salinity,increased density stratification,"yes decreased surface salinity leads to a decrease in water density, which can result in increased density stratification as the less dense water stays on top and the denser water below remains undisturbed",no
request-5-1-4,increased density stratification,slowing of ocean vertical mixing,yes,"yes slowing of ocean vertical mixing can lead to increased density stratification, as it reduces the vertical transport of warmer, less dense water to the surface and cooler, denser water to deeper layers this can result in a stronger stratification of the water column"
request-5-2-0,heat from gas emissions absorbed by oceans,changes in wind patterns,"yes heat from gas emissions, particularly greenhouse gases, absorbed by oceans can lead to changes in atmospheric temperatures this can alter pressure gradients, which are a primary driver of wind patterns as a result, changes in wind patterns can occur","no changes in wind patterns primarily affect the distribution and movement of heat and moisture in the atmosphere and oceans while they can influence weather and climate, they do not directly cause heat from gas emissions absorbed by oceans heat absorption by the oceans is more directly related to solar radiation and greenhouse gas concentrations"
request-5-2-1,changes in wind patterns,reduced surface turbulence,no,yes
request-5-2-2,reduced surface turbulence,slowing of ocean vertical mixing,yes,"yes slowing of ocean vertical mixing can lead to reduced surface turbulence, as vertical mixing is a process that helps maintain turbulence by transferring momentum and energy between different layers of the ocean when vertical mixing is reduced, this transfer is less efficient, leading to less turbulent surface conditions"
request-6-0-0,heat from gas emissions absorbed by oceans,ocean warming,yes,"no ocean warming is a result of increased heat content in the ocean, often due to absorbing excess heat from the atmosphere, which is largely driven by anthropogenic greenhouse gas emissions however, the oceans do not cause the heat from gas emissions; rather, they are affected by the heat resulting from those emissions"
request-6-0-1,ocean warming,reduced oxygen solubility,yes,no
request-6-0-2,reduced oxygen solubility,decreased dissolved oxygen levels,yes,"no decreased dissolved oxygen levels do not cause reduced oxygen solubility; instead, solubility is a property that can be affected by temperature, salinity, and pressure decreased dissolved oxygen levels can be a result of reduced solubility due to these factors, or other processes such as increased biological demand or reduced water movement"
request-6-0-3,decreased dissolved oxygen levels,ocean deoxygenation,yes,yes
request-6-1-0,heat from gas emissions absorbed by oceans,ocean warming,yes,"no ocean warming is a result of increased heat content in the ocean, often due to absorbing excess heat from the atmosphere, which is largely driven by anthropogenic greenhouse gas emissions however, the oceans do not cause the heat from gas emissions; rather, they are affected by the heat resulting from those emissions"
request-6-1-1,ocean warming,increased ocean stratification,yes,no
request-6-1-2,increased ocean stratification,reduced vertical mixing,yes,yes
request-6-1-3,reduced vertical mixing,decreased oxygen transport,yes,no
request-6-1-4,decreased oxygen transport,ocean deoxygenation,yes,"yes ocean deoxygenation can lead to decreased oxygen transport, as it reduces the overall oxygen levels in the water, which can affect the ability of marine organisms to obtain the oxygen they need for survival"
request-6-2-0,heat from gas emissions absorbed by oceans,ocean warming,yes,"no ocean warming is a result of increased heat content in the ocean, often due to absorbing excess heat from the atmosphere, which is largely driven by anthropogenic greenhouse gas emissions however, the oceans do not cause the heat from gas emissions; rather, they are affected by the heat resulting from those emissions"
request-6-2-1,ocean warming,higher metabolic rates,no,no
request-6-2-2,higher metabolic rates,increased oxygen consumption,yes,yes
request-6-2-3,increased oxygen consumption,decreased oxygen availability,no,no
request-6-2-4,decreased oxygen availability,ocean deoxygenation,yes,yes
request-6-3-0,heat from gas emissions absorbed by oceans,ocean warming,yes,"no ocean warming is a result of increased heat content in the ocean, often due to absorbing excess heat from the atmosphere, which is largely driven by anthropogenic greenhouse gas emissions however, the oceans do not cause the heat from gas emissions; rather, they are affected by the heat resulting from those emissions"
request-6-3-1,ocean warming,altered ocean circulation,yes,"yes altered ocean circulation can affect the distribution of heat in the ocean, which can contribute to ocean warming changes in currents can lead to changes in heat transport, potentially altering regional climates and contributing to global warming"
request-6-3-2,altered ocean circulation,disrupted nutrient upwelling,"yes altered ocean circulation can indeed disrupt nutrient upwelling, which is crucial for marine ecosystems upwelling brings nutrient-rich water from the deep ocean to the surface, supporting the growth of phytoplankton and the broader marine food web changes in ocean circulation patterns due to climate change can alter these processes, potentially leading to less nutrient upwelling and impacting marine life","yes disrupted nutrient upwelling can lead to changes in ocean circulation patterns, as nutrient upwelling is a key factor in the distribution of nutrients and affects the density and temperature of seawater, which in turn influences ocean currents"
