custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,cities' burden on distal resource suppliers,overextraction of resources,yes,yes
request-1-0-1,overextraction of resources,depletion of supplier ecosystems,yes,yes
request-1-0-2,depletion of supplier ecosystems,reduced regenerative capacity of natural systems,yes,yes
request-1-0-3,reduced regenerative capacity of natural systems,increased reliance on synthetic alternatives,yes,yes
request-1-0-4,increased reliance on synthetic alternatives,accumulation of nonbiodegradable waste in cities,yes,no
request-1-0-5,accumulation of nonbiodegradable waste in cities,environmental deficits in cities,yes,yes
request-1-1-0,cities' burden on distal resource suppliers,longdistance transportation networks,yes,yes
request-1-1-1,longdistance transportation networks,greenhouse gas emissions from freight,yes,no
request-1-1-2,greenhouse gas emissions from freight,localized air quality deterioration,no,no
request-1-1-3,localized air quality deterioration,urban heat island intensification,yes,yes
request-1-1-4,urban heat island intensification,environmental deficits in cities,yes,yes
request-1-2-0,cities' burden on distal resource suppliers,displacement of indigenous land stewardship,yes,yes
request-1-2-1,displacement of indigenous land stewardship,unsustainable agricultural practices in supplier regions,yes,yes
request-1-2-2,unsustainable agricultural practices in supplier regions,soil erosion and water contamination,yes,no
request-1-2-3,soil erosion and water contamination,disrupted nutrient cycles,yes,yes
request-1-2-4,disrupted nutrient cycles,degraded food quality imported to cities,yes,yes
request-1-2-5,degraded food quality imported to cities,organic waste mismanagement,yes,yes
request-1-2-6,organic waste mismanagement,environmental deficits in cities,yes,yes
request-1-3-0,cities' burden on distal resource suppliers,economic pressure on suppliers to prioritize quantity over sustainability,yes,yes
request-1-3-1,economic pressure on suppliers to prioritize quantity over sustainability,monoculture farming expansion,yes,yes
request-1-3-2,monoculture farming expansion,pollinator population collapse,yes,yes
request-1-3-3,pollinator population collapse,reduced urban green space biodiversity,yes,yes
request-1-3-4,reduced urban green space biodiversity,environmental deficits in cities,yes,yes
request-1-4-0,cities' burden on distal resource suppliers,deferred maintenance of local infrastructure,yes,yes
request-1-4-1,deferred maintenance of local infrastructure,inefficient energy/water systems in cities,yes,yes
request-1-4-2,inefficient energy/water systems in cities,resource leakage and overconsumption,yes,yes
request-1-4-3,resource leakage and overconsumption,environmental deficits in cities,yes,yes
request-1-5-0,cities' burden on distal resource suppliers,normalization of disposable packaging,yes,yes
request-1-5-1,normalization of disposable packaging,microplastic infiltration into urban waterways,yes,no
request-1-5-2,microplastic infiltration into urban waterways,aquatic ecosystem disruption,yes,no
request-1-5-3,aquatic ecosystem disruption,impaired water purification services,yes,yes
request-1-5-4,impaired water purification services,environmental deficits in cities,yes,yes
request-2-0-0,business,industrial production,yes,no
request-2-0-1,industrial production,fossil fuel combustion,yes,no
