custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-1-0-0,companies and corporations emit greenhouse gases through their operations and products,"greenhouse gases trap heat in the atmosphere, contributing to global warming",yes,yes,yes,yes
request-1-0-1,"greenhouse gases trap heat in the atmosphere, contributing to global warming",global warming,yes,yes,yes,yes
request-1-1-0,companies and corporations engage in deforestation for resources like timber and palm oil,deforestation reduces the number of trees available to absorb carbon dioxide from the atmosphere,yes,yes,yes,yes
request-1-1-1,deforestation reduces the number of trees available to absorb carbon dioxide from the atmosphere,increased carbon dioxide levels contribute to global warming and climate change,yes,yes,yes,yes
request-1-2-0,companies and corporations use energy from fossil fuels for their operations,burning fossil fuels releases carbon dioxide and other greenhouse gases into the atmosphere,yes,yes,yes,yes
request-1-2-1,burning fossil fuels releases carbon dioxide and other greenhouse gases into the atmosphere,increased greenhouse gas emissions contribute to global warming and climate change,yes,yes,yes,yes
request-1-3-0,"companies and corporations produce and consume resources at a high rate, contributing to resource depletion",resource depletion can lead to conflicts and instability in regions where resources are extracted,yes,yes,yes,yes
request-1-3-1,resource depletion can lead to conflicts and instability in regions where resources are extracted,instability can disrupt local ecosystems and contribute to climate change through activities like deforestation and agriculture,yes,yes,yes,yes
request-1-4-0,"companies and corporations invest in infrastructure projects, often prioritizing economic growth over environmental concerns","infrastructure projects can lead to habitat destruction and fragmentation, disrupting local ecosystems",yes,yes,yes,yes
request-1-4-1,"infrastructure projects can lead to habitat destruction and fragmentation, disrupting local ecosystems",ecosystem disruption can alter local climate patterns and contribute to broader climate change,yes,yes,yes,yes
request-1-5-0,companies and corporations engage in lobbying and political influence to maintain favorable regulations,favorable regulations can hinder the implementation of policies that would reduce greenhouse gas emissions,yes,yes,yes,yes
