custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-1-0-0,companies and corporations,greenhouse gas emissions,yes,no,yes,no
request-1-0-1,greenhouse gas emissions,climate change,yes,no,yes,no
request-1-1-0,companies and corporations,deforestation,yes,no,yes,no
request-1-1-1,deforestation,loss of carbon sinks,yes,no,yes,yes
request-1-1-2,loss of carbon sinks,climate change,yes,yes,no,yes
request-1-2-0,companies and corporations,industrial agriculture,yes,yes,yes,no
request-1-2-1,industrial agriculture,methane emissions,yes,no,yes,no
request-1-2-2,methane emissions,climate change,yes,yes,yes,no
request-1-3-0,companies and corporations,singleuse plastic production,yes,no,yes,no
request-1-3-1,singleuse plastic production,fossil fuel extraction,yes,yes,no,yes
request-1-3-2,fossil fuel extraction,co₂ emissions,yes,no,yes,no
request-1-3-3,co₂ emissions,climate change,yes,no,yes,no
request-1-4-0,companies and corporations,global shipping,yes,no,yes,no
request-1-4-1,global shipping,fossil fuel combustion,yes,no,yes,yes
request-1-4-2,fossil fuel combustion,atmospheric co₂ increase,yes,no,yes,no
request-1-4-3,atmospheric co₂ increase,climate change,yes,no,yes,no
request-1-5-0,companies and corporations,lobbying against climate policies,yes,no,yes,yes
request-1-5-1,lobbying against climate policies,delayed renewable energy transition,yes,yes,yes,no
request-1-5-2,delayed renewable energy transition,continued fossil fuel dependence,yes,yes,yes,yes
request-1-5-3,continued fossil fuel dependence,climate change,yes,no,yes,no
request-1-6-0,companies and corporations,fast fashion industry,yes,no,yes,no
request-1-6-1,fast fashion industry,increased resource extraction,yes,yes,yes,no
request-1-6-2,increased resource extraction,higher emissions,yes,yes,yes,no
request-1-6-3,higher emissions,climate change,yes,no,yes,no
request-1-7-0,companies and corporations,fossil fuel investments,yes,no,yes,no
request-1-7-1,fossil fuel investments,fracking and drilling,yes,no,yes,no
request-1-7-2,fracking and drilling,methane leaks,yes,no,yes,no
request-1-7-3,methane leaks,climate change,yes,yes,yes,no
request-1-8-0,companies and corporations,nonbiodegradable waste,yes,no,yes,no
request-1-8-1,nonbiodegradable waste,landfill expansion,yes,no,yes,no
request-1-8-2,landfill expansion,methane emissions,yes,no,yes,no
request-1-8-3,methane emissions,climate change,yes,yes,yes,no
request-1-9-0,companies and corporations,promotion of highenergy lifestyles,yes,no,yes,no
request-1-9-1,promotion of highenergy lifestyles,increased energy demand,yes,yes,yes,yes
request-1-9-2,increased energy demand,fossil fuel power generation,yes,no,no,no
request-1-9-3,fossil fuel power generation,climate change,yes,no,yes,no
request-2-0-0,buying from companies that mess the climate,financial support to climatedamaging companies,yes,yes,yes,yes
request-2-0-1,financial support to climatedamaging companies,continued operation of climateharmful businesses,yes,yes,yes,yes
request-2-0-2,continued operation of climateharmful businesses,market dominance of unsustainable practices,yes,yes,yes,yes
request-2-0-3,market dominance of unsustainable practices,lack of transition to renewable energy sources,yes,yes,yes,no
request-2-0-4,lack of transition to renewable energy sources,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-1-0,buying from companies that mess the climate,consumer validation of unsustainable products,yes,yes,yes,yes
request-2-1-1,consumer validation of unsustainable products,legitimization of harmful industrial activities,yes,yes,yes,yes
request-2-1-2,legitimization of harmful industrial activities,absence of divestment pressure,no,yes,no,no
request-2-1-3,absence of divestment pressure,corporate perpetuation of emissionsintensive practices,yes,no,no,no
request-2-1-4,corporate perpetuation of emissionsintensive practices,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-2-0,buying from companies that mess the climate,profitdriven corporate lobbying,yes,yes,yes,yes
request-2-2-1,profitdriven corporate lobbying,weak or absent environmental regulations,yes,yes,yes,yes
request-2-2-2,weak or absent environmental regulations,unchecked carbon emissions,yes,no,yes,yes
request-2-2-3,unchecked carbon emissions,industry reliance on fossil fuel infrastructure,yes,yes,no,yes
request-2-2-4,industry reliance on fossil fuel infrastructure,keeping of climatedamaging companies,yes,yes,yes,no
request-2-3-0,buying from companies that mess the climate,economic dependence on fossil fuel industries,yes,yes,yes,yes
request-2-3-1,economic dependence on fossil fuel industries,delayed investment in green technologies,yes,yes,yes,yes
request-2-3-2,delayed investment in green technologies,competitive advantage of polluting firms,no,yes,yes,yes
request-2-3-3,competitive advantage of polluting firms,market entrenchment of highemission actors,yes,yes,yes,yes
request-2-3-4,market entrenchment of highemission actors,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-4-0,buying from companies that mess the climate,enhanced reputation of unsustainable companies,yes,yes,yes,no
request-2-4-1,enhanced reputation of unsustainable companies,undermined efforts to stigmatize fossil fuel industries,yes,yes,no,yes
request-2-4-2,undermined efforts to stigmatize fossil fuel industries,normalization of environmental harm,yes,yes,no,yes
request-2-4-3,normalization of environmental harm,societal tolerance for climate inaction,no,yes,yes,no
request-2-4-4,societal tolerance for climate inaction,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-5-0,buying from companies that mess the climate,shareholder prioritization of shortterm profits,yes,yes,yes,yes
request-2-5-1,shareholder prioritization of shortterm profits,resistance to sustainable business model transitions,yes,yes,yes,yes
request-2-5-2,resistance to sustainable business model transitions,continued resource extraction,yes,yes,yes,yes
request-2-5-3,continued resource extraction,infrastructure lockin to carbonintensive systems,yes,yes,yes,yes
request-2-5-4,infrastructure lockin to carbonintensive systems,keeping of climatedamaging companies,yes,yes,yes,yes
request-3-0-0,systemic change,policy reform,yes,yes,yes,yes
request-3-0-1,policy reform,carbon pricing implementation,yes,yes,yes,yes
request-3-0-2,carbon pricing implementation,emission reduction,yes,no,yes,no
request-3-0-3,emission reduction,atmospheric co2 decline,no,no,no,no
request-3-0-4,atmospheric co2 decline,global warming slowdown,no,no,no,no
request-3-0-5,global warming slowdown,progress in climate change,no,no,no,no
request-3-1-0,systemic change,economic restructuring,yes,yes,yes,yes
request-3-1-1,economic restructuring,renewable energy investment,yes,yes,yes,yes
request-3-1-2,renewable energy investment,clean energy transition,yes,yes,yes,yes
