cause,effect,custom_id
increased urbanization,this increased demand puts a greater burden on distal resource suppliers,request-1-0-0
this increased demand puts a greater burden on distal resource suppliers,"to meet this demand, suppliers increase resource extraction and production",request-1-0-1
"to meet this demand, suppliers increase resource extraction and production",increased extraction and production lead to environmental degradation in resourcerich areas,request-1-0-2
increased extraction and production lead to environmental degradation in resourcerich areas,"this degradation can include deforestation, soil erosion, and loss of biodiversity",request-1-0-3
"this degradation can include deforestation, soil erosion, and loss of biodiversity",environmental degradation in resourcerich areas can disrupt local ecosystems and climate patterns,request-1-0-4
environmental degradation in resourcerich areas can disrupt local ecosystems and climate patterns,these disruptions can lead to changes in weather patterns and increased frequency of extreme weather events,request-1-0-5
these disruptions can lead to changes in weather patterns and increased frequency of extreme weather events,"these extreme weather events can cause environmental deficits in cities, such as flooding, droughts, and heatwaves",request-1-0-6
increased urbanization,this increased demand puts a greater burden on distal resource suppliers,request-1-1-0
this increased demand puts a greater burden on distal resource suppliers,"to meet this demand, suppliers increase resource extraction and production",request-1-1-1
"to meet this demand, suppliers increase resource extraction and production",increased extraction and production lead to increased waste generation and pollution,request-1-1-2
increased extraction and production lead to increased waste generation and pollution,"this waste and pollution can accumulate in local waterways and soil, leading to environmental degradation",request-1-1-3
"this waste and pollution can accumulate in local waterways and soil, leading to environmental degradation",environmental degradation in resourcerich areas can disrupt local ecosystems and food chains,request-1-1-4
environmental degradation in resourcerich areas can disrupt local ecosystems and food chains,disruptions in food chains can lead to a decrease in local food availability and increased food prices,request-1-1-5
disruptions in food chains can lead to a decrease in local food availability and increased food prices,increased food prices and decreased availability can lead to food insecurity and malnutrition in cities,request-1-1-6
increased urbanization,this increased demand puts a greater burden on distal resource suppliers,request-1-2-0
this increased demand puts a greater burden on distal resource suppliers,"to meet this demand, suppliers increase resource extraction and production",request-1-2-1
"to meet this demand, suppliers increase resource extraction and production",increased extraction and production lead to increased energy consumption,request-1-2-2
increased extraction and production lead to increased energy consumption,increased energy consumption,request-1-2-3
increased energy consumption,greenhouse gas emissions contribute to climate change and global warming,request-1-2-4
greenhouse gas emissions contribute to climate change and global warming,global warming,request-1-2-5
global warming,"these events can cause environmental deficits in cities, such as flooding, coastal erosion, and heatwaves",request-1-2-6
business activities lead to increased consumption of fossil fuels for energy,increased consumption of fossil fuels results in higher emissions of greenhouse gases  such as carbon dioxide,request-2-0-0
