custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-1-0-0,companies and corporations,fossil fuel extraction and burning,yes,no,yes,no
request-1-0-1,fossil fuel extraction and burning,greenhouse gas emissions,yes,no,yes,no
request-1-0-2,greenhouse gas emissions,global warming,yes,no,yes,no
request-1-0-3,global warming,the climate,no,no,no,no
request-1-1-0,companies and corporations,deforestation and land clearing,yes,no,yes,yes
request-1-1-1,deforestation and land clearing,loss of carbon sequestration,yes,no,yes,yes
request-1-1-2,loss of carbon sequestration,increased atmospheric co2,yes,yes,no,no
request-1-1-3,increased atmospheric co2,the climate,yes,no,yes,no
request-1-2-0,companies and corporations,industrial agriculture practices,yes,yes,yes,no
request-1-2-1,industrial agriculture practices,methane and n2o emissions,yes,yes,yes,yes
request-1-2-2,methane and n2o emissions,enhanced greenhouse effect,yes,no,yes,no
request-1-2-3,enhanced greenhouse effect,the climate,no,yes,yes,no
request-1-3-0,companies and corporations,production and use of plastics,yes,no,yes,no
request-1-3-1,production and use of plastics,plastic waste and pollution,yes,no,yes,no
request-1-3-2,plastic waste and pollution,microplastic ingestion by marine life,yes,no,yes,no
request-1-3-3,microplastic ingestion by marine life,disruption of ocean ecosystems,yes,yes,yes,yes
request-1-3-4,disruption of ocean ecosystems,the climate,no,yes,no,yes
request-1-4-0,companies and corporations,transportation and logistics,yes,yes,yes,no
request-1-4-1,transportation and logistics,fossil fuel combustion,yes,no,yes,yes
request-1-4-2,fossil fuel combustion,air pollution,yes,no,yes,no
request-1-4-3,air pollution,respiratory problems,yes,no,yes,no
request-1-4-4,respiratory problems,increased energy consumption for healthcare,yes,yes,no,no
request-1-4-5,increased energy consumption for healthcare,the climate,yes,yes,no,no
request-1-5-0,companies and corporations,resource extraction and mining,yes,yes,yes,no
request-1-5-1,resource extraction and mining,environmental degradation,yes,no,yes,no
request-1-5-2,environmental degradation,disruption of natural habitats,yes,yes,yes,yes
request-1-5-3,disruption of natural habitats,loss of biodiversity,yes,yes,yes,no
request-1-5-4,loss of biodiversity,the climate,no,yes,no,no
request-1-6-0,companies and corporations,supply chain management,yes,no,yes,no
request-1-6-1,supply chain management,unsustainable sourcing practices,yes,yes,yes,no
request-1-6-2,unsustainable sourcing practices,deforestation and habitat destruction,yes,yes,yes,yes
request-1-6-3,deforestation and habitat destruction,disruption of ecosystem services,yes,yes,yes,no
request-1-6-4,disruption of ecosystem services,the climate,no,yes,no,yes
request-2-0-0,buying from companies that mess the climate,supporting companies that mess the climate,yes,yes,yes,yes
request-2-0-1,supporting companies that mess the climate,encouraging companies to continue polluting,yes,yes,yes,yes
request-2-0-2,encouraging companies to continue polluting,keeping of climatedamaging companies,yes,yes,yes,no
request-2-1-0,buying from companies that mess the climate,increasing demand for climateharming products,yes,yes,yes,yes
request-2-1-1,increasing demand for climateharming products,boosting profits of climateharming companies,yes,yes,yes,yes
request-2-1-2,boosting profits of climateharming companies,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-2-0,buying from companies that mess the climate,funding climateharming business practices,yes,yes,yes,yes
request-2-2-1,funding climateharming business practices,perpetuating climate damage through financial support,yes,yes,yes,yes
request-2-2-2,perpetuating climate damage through financial support,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-3-0,buying from companies that mess the climate,legitimizing climateharming corporate behavior,yes,yes,yes,yes
request-2-3-1,legitimizing climateharming corporate behavior,reducing pressure to adopt sustainable practices,yes,yes,yes,yes
request-2-3-2,reducing pressure to adopt sustainable practices,keeping of climatedamaging companies,yes,no,yes,yes
request-2-4-0,buying from companies that mess the climate,sending a message that climate damage is acceptable,yes,yes,yes,yes
request-2-4-1,sending a message that climate damage is acceptable,discouraging investment in sustainable alternatives,yes,yes,yes,yes
request-2-4-2,discouraging investment in sustainable alternatives,keeping of climatedamaging companies,yes,yes,yes,yes
request-3-0-0,systemic change,shift in global economic priorities,yes,yes,yes,yes
request-3-0-1,shift in global economic priorities,increased investment in renewable energy,yes,yes,yes,yes
request-3-0-2,increased investment in renewable energy,reduction in greenhouse gas emissions,yes,yes,yes,no
