custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,cities' burden on distal resource suppliers,distal resource suppliers face increased demand,yes,yes
request-1-0-1,distal resource suppliers face increased demand,distal resource suppliers increase extraction of resources,yes,yes
request-1-0-2,distal resource suppliers increase extraction of resources,resource extraction,yes,yes
request-1-0-3,resource extraction,environmental degradation affects air and water quality,yes,no
request-1-0-4,environmental degradation affects air and water quality,degraded air and water quality lead to health problems in cities,yes,yes
request-1-0-5,degraded air and water quality lead to health problems in cities,health problems contribute to environmental deficits in cities,yes,yes
request-1-0-6,health problems contribute to environmental deficits in cities,environmental deficits in cities result from the burden on distal resource suppliers,no,yes
request-2-0-0,business expansion,industrial production,yes,yes
request-2-0-1,industrial production,emission of greenhouse gases,yes,no
request-2-0-2,emission of greenhouse gases,increase in carbon dioxide levels,yes,no
request-2-0-3,increase in carbon dioxide levels,global warming,yes,no
request-2-0-4,global warming,climate change>,yes,yes
request-2-1-0,corporate investments,construction activities,yes,yes
request-2-1-1,construction activities,deforestation,yes,no
request-2-1-2,deforestation,release of stored carbon,yes,no
request-2-1-3,release of stored carbon,greenhouse gas accumulation,yes,yes
request-2-1-4,greenhouse gas accumulation,global warming,yes,no
request-2-1-5,global warming,climate change>,yes,yes
request-2-2-0,manufacturing processes,energy consumption,yes,no
request-2-2-1,energy consumption,burning of fossil fuels,yes,no
request-2-2-2,burning of fossil fuels,emission of greenhouse gases,yes,no
request-2-2-3,emission of greenhouse gases,global warming,yes,no
request-2-2-4,global warming,climate change>,yes,yes
request-2-3-0,urban development,increased transportation needs,yes,yes
request-2-3-1,increased transportation needs,more vehicles on the road,yes,yes
request-2-3-2,more vehicles on the road,emission of greenhouse gases,yes,no
request-2-3-3,emission of greenhouse gases,global warming,yes,no
request-2-3-4,global warming,climate change>,yes,yes
request-2-4-0,agricultural practices,use of synthetic fertilizers,yes,no
request-2-4-1,use of synthetic fertilizers,release of nitrous oxide,yes,no
request-2-4-2,release of nitrous oxide,greenhouse gas accumulation,yes,yes
request-2-4-3,greenhouse gas accumulation,global warming,yes,no
request-2-4-4,global warming,climate change>,yes,yes
request-2-5-0,energy sector growth,fossil fuel extraction,yes,yes
request-2-5-1,fossil fuel extraction,carbon dioxide emissions,yes,no
request-2-5-2,carbon dioxide emissions,greenhouse gas accumulation,yes,no
request-2-5-3,greenhouse gas accumulation,global warming,yes,no
request-2-5-4,global warming,climate change>,yes,yes
request-3-0-0,business expansion,deforestation for land development,yes,yes
request-3-0-1,deforestation for land development,habitat destruction,yes,yes
request-3-0-2,habitat destruction,species displacement,yes,yes
request-3-0-3,species displacement,reduced biodiversity,yes,yes
request-3-0-4,reduced biodiversity,loss of biodiversity,yes,yes
request-3-1-0,business pollution,water contamination,yes,yes
request-3-1-1,water contamination,harm to aquatic life,yes,yes
request-3-1-2,harm to aquatic life,disruption of food chains,yes,yes
request-3-1-3,disruption of food chains,ecosystem imbalance,yes,yes
request-3-1-4,ecosystem imbalance,loss of biodiversity,yes,yes
request-3-2-0,business overfishing,depletion of fish populations,yes,no
request-3-2-1,depletion of fish populations,disruption of marine ecosystems,yes,yes
request-3-2-2,disruption of marine ecosystems,loss of marine biodiversity,yes,yes
request-3-2-3,loss of marine biodiversity,loss of biodiversity,yes,yes
request-3-3-0,business agricultural expansion,land clearing for crop cultivation,yes,yes
request-3-3-1,land clearing for crop cultivation,soil degradation,yes,yes
request-3-3-2,soil degradation,loss of plant species,yes,yes
request-3-3-3,loss of plant species,loss of biodiversity,yes,yes
request-3-4-0,business urban development,construction of buildings and infrastructure,yes,yes
request-3-4-1,construction of buildings and infrastructure,loss of natural habitats,yes,no
request-3-4-2,loss of natural habitats,displacement of wildlife,yes,yes
request-3-4-3,displacement of wildlife,loss of biodiversity,yes,yes
request-4-0-0,business expansion,industrial pollution,yes,no
request-4-0-1,industrial pollution,deforestation,no,no
request-4-0-2,deforestation,soil erosion,yes,no
request-4-0-3,soil erosion,water contamination,yes,no
request-4-0-4,water contamination,loss of biodiversity,yes,yes
request-4-0-5,loss of biodiversity,degradation of nature,yes,yes
request-4-1-0,business activities,emission of greenhouse gases,yes,no
request-4-1-1,emission of greenhouse gases,global warming,yes,no
request-4-1-2,global warming,climate change,yes,yes
request-4-1-3,climate change,extreme weather events,yes,no
request-4-1-4,extreme weather events,natural habitat destruction,yes,yes
request-4-1-5,natural habitat destruction,degradation of nature,yes,yes
request-4-2-0,business consumption,extraction of natural resources,yes,yes
request-4-2-1,extraction of natural resources,habitat disruption,yes,yes
request-4-2-2,habitat disruption,pollution of ecosystems,yes,yes
request-4-2-3,pollution of ecosystems,loss of species,yes,no
request-4-2-4,loss of species,degradation of nature,yes,yes
request-4-3-0,business waste production,landfill expansion,yes,no
request-4-3-1,landfill expansion,soil contamination,yes,yes
