custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,cities' burden on distal resource suppliers,increased transportation demands,yes,yes
request-1-0-1,increased transportation demands,higher fuel consumption,yes,no
request-1-0-2,higher fuel consumption,elevated greenhouse gas emissions,yes,no
request-1-0-3,elevated greenhouse gas emissions,air quality degradation,yes,no
request-1-0-4,air quality degradation,environmental deficits in cities,yes,yes
request-1-1-0,cities' burden on distal resource suppliers,reliance on non-local resources,yes,yes
request-1-1-1,reliance on non-local resources,vulnerability to supply disruptions,yes,yes
request-1-1-2,vulnerability to supply disruptions,"increased use of alternative, often less sustainable resources",yes,yes
request-1-1-3,"increased use of alternative, often less sustainable resources",environmental degradation from alternative resource extraction,yes,yes
request-1-1-4,environmental degradation from alternative resource extraction,environmental deficits in cities,yes,yes
request-1-2-0,cities' burden on distal resource suppliers,overexploitation of distant resources,yes,yes
request-1-2-1,overexploitation of distant resources,depletion of natural resources,yes,yes
request-1-2-2,depletion of natural resources,increased operational costs,yes,no
request-1-2-3,increased operational costs,insufficient investment in sustainable practices,yes,yes
request-1-2-4,insufficient investment in sustainable practices,environmental deficits in cities,yes,yes
request-1-3-0,cities' burden on distal resource suppliers,extended supply chains,yes,yes
request-1-3-1,extended supply chains,higher energy consumption for transportation and logistics,yes,no
request-1-3-2,higher energy consumption for transportation and logistics,greater carbon footprint,yes,no
request-1-3-3,greater carbon footprint,intensified climate impacts,yes,yes
request-1-3-4,intensified climate impacts,environmental deficits in cities,yes,yes
request-1-4-0,cities' burden on distal resource suppliers,increased waste generation from complex supply processes,yes,yes
request-1-4-1,increased waste generation from complex supply processes,inadequate waste management systems,yes,yes
request-1-4-2,inadequate waste management systems,pollution and resource inefficiency,yes,yes
request-1-4-3,pollution and resource inefficiency,environmental deficits in cities,yes,yes
request-2-0-0,business,industrial activities,yes,yes
request-2-0-1,industrial activities,greenhouse gas emissions,yes,no
request-2-0-2,greenhouse gas emissions,global warming,yes,no
request-2-0-3,global warming,climate change,yes,no
request-2-1-0,business,deforestation activities,yes,yes
request-2-1-1,deforestation activities,reduced carbon sequestration,yes,no
request-2-1-2,reduced carbon sequestration,increased atmospheric co₂,yes,no
request-2-1-3,increased atmospheric co₂,climate change,yes,yes
request-2-2-0,business,transportation sector expansion,yes,yes
request-2-2-1,transportation sector expansion,fossil fuel consumption,yes,yes
request-2-2-2,fossil fuel consumption,increased co₂ emissions,yes,no
request-2-2-3,increased co₂ emissions,climate change,yes,no
request-2-3-0,business,energy production from fossil fuels,yes,yes
request-2-3-1,energy production from fossil fuels,air pollution,yes,no
request-2-3-2,air pollution,global temperature rise,yes,yes
request-2-3-3,global temperature rise,climate change,yes,no
request-2-4-0,business,manufacturing processes,no,no
request-2-4-1,manufacturing processes,resource extraction,yes,no
request-2-4-2,resource extraction,environmental degradation,yes,no
request-2-4-3,environmental degradation,climate change,yes,yes
request-3-0-0,business expansion,increased resource extraction,yes,yes
request-3-0-1,increased resource extraction,habitat destruction,yes,no
request-3-0-2,habitat destruction,loss of biodiversity,yes,no
request-3-1-0,business production,higher pollution levels,yes,no
request-3-1-1,higher pollution levels,water contamination,yes,yes
request-3-1-2,water contamination,loss of biodiversity,yes,yes
request-3-2-0,business agriculture practices,use of pesticides,yes,no
request-3-2-1,use of pesticides,soil degradation,yes,yes
request-3-2-2,soil degradation,loss of biodiversity,yes,yes
request-3-3-0,business deforestation,carbon emissions rise,yes,no
request-3-3-1,carbon emissions rise,climate change acceleration,yes,no
request-3-3-2,climate change acceleration,loss of biodiversity,yes,yes
request-3-4-0,business waste generation,improper waste disposal,yes,no
request-3-4-1,improper waste disposal,marine ecosystem disruption,yes,no
request-3-4-2,marine ecosystem disruption,loss of biodiversity,yes,yes
request-3-5-0,business infrastructure development,urbanization,yes,yes
request-3-5-1,urbanization,fragmented habitats,yes,no
request-3-5-2,fragmented habitats,loss of biodiversity,yes,no
request-3-6-0,business overfishing,decline in fish populations,yes,no
request-3-6-1,decline in fish populations,disruption of aquatic food webs,yes,yes
request-3-6-2,disruption of aquatic food webs,loss of biodiversity,yes,yes
request-3-7-0,business introduction of invasive species,native species decline,yes,no
request-3-7-1,native species decline,ecosystem imbalance,yes,yes
request-3-7-2,ecosystem imbalance,loss of biodiversity,yes,yes
request-3-8-0,business energy consumption,fossil fuel use,yes,no
request-3-8-1,fossil fuel use,air quality deterioration,yes,no
request-3-8-2,air quality deterioration,loss of biodiversity,yes,yes
request-3-9-0,business land use changes,agricultural expansion,yes,yes
request-3-9-1,agricultural expansion,natural habitats reduced,yes,yes
request-3-9-2,natural habitats reduced,loss of biodiversity,yes,yes
request-4-0-0,business,resource extraction,yes,yes
request-4-0-1,resource extraction,deforestation,yes,no
request-4-0-2,deforestation,habitat loss,yes,no
request-4-0-3,habitat loss,degradation of nature,yes,yes
request-4-1-0,business,industrial production,yes,no
request-4-1-1,industrial production,pollution emissions,yes,no
request-4-1-2,pollution emissions,air and water contamination,yes,no
request-4-1-3,air and water contamination,ecosystem damage,yes,yes
request-4-1-4,ecosystem damage,degradation of nature,yes,yes
request-4-2-0,business,fossil fuel use,yes,yes
request-4-2-1,fossil fuel use,greenhouse gas emissions,yes,no
request-4-2-2,greenhouse gas emissions,climate change,yes,no
request-4-2-3,climate change,natural disasters,yes,no
request-4-2-4,natural disasters,degradation of nature,yes,yes
request-4-3-0,business,agricultural expansion,yes,yes
request-4-3-1,agricultural expansion,pesticide use,yes,yes
request-4-3-2,pesticide use,soil degradation,yes,yes
request-4-3-3,soil degradation,water pollution,yes,yes
request-4-3-4,water pollution,degradation of nature,yes,yes
request-4-4-0,business,overconsumption,yes,yes
request-4-4-1,overconsumption,waste generation,yes,no
request-4-4-2,waste generation,landfill overflow,yes,no
request-4-4-3,landfill overflow,soil and water contamination,yes,no
request-4-4-4,soil and water contamination,degradation of nature,yes,yes
