custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,increased urbanization,this increased demand puts a greater burden on distal resource suppliers,yes,no
request-1-0-1,this increased demand puts a greater burden on distal resource suppliers,"to meet this demand, suppliers increase resource extraction and production",yes,yes
request-1-0-2,"to meet this demand, suppliers increase resource extraction and production",increased extraction and production lead to environmental degradation in resourcerich areas,yes,yes
request-1-0-3,increased extraction and production lead to environmental degradation in resourcerich areas,"this degradation can include deforestation, soil erosion, and loss of biodiversity",yes,yes
request-1-0-4,"this degradation can include deforestation, soil erosion, and loss of biodiversity",environmental degradation in resourcerich areas can disrupt local ecosystems and climate patterns,yes,yes
request-1-0-5,environmental degradation in resourcerich areas can disrupt local ecosystems and climate patterns,these disruptions can lead to changes in weather patterns and increased frequency of extreme weather events,yes,yes
request-1-0-6,these disruptions can lead to changes in weather patterns and increased frequency of extreme weather events,"these extreme weather events can cause environmental deficits in cities, such as flooding, droughts, and heatwaves",yes,yes
request-1-1-0,increased urbanization,this increased demand puts a greater burden on distal resource suppliers,yes,no
request-1-1-1,this increased demand puts a greater burden on distal resource suppliers,"to meet this demand, suppliers increase resource extraction and production",yes,yes
request-1-1-2,"to meet this demand, suppliers increase resource extraction and production",increased extraction and production lead to increased waste generation and pollution,yes,yes
request-1-1-3,increased extraction and production lead to increased waste generation and pollution,"this waste and pollution can accumulate in local waterways and soil, leading to environmental degradation",yes,yes
request-1-1-4,"this waste and pollution can accumulate in local waterways and soil, leading to environmental degradation",environmental degradation in resourcerich areas can disrupt local ecosystems and food chains,yes,yes
request-1-1-5,environmental degradation in resourcerich areas can disrupt local ecosystems and food chains,disruptions in food chains can lead to a decrease in local food availability and increased food prices,yes,yes
request-1-1-6,disruptions in food chains can lead to a decrease in local food availability and increased food prices,increased food prices and decreased availability can lead to food insecurity and malnutrition in cities,yes,yes
request-1-2-0,increased urbanization,this increased demand puts a greater burden on distal resource suppliers,yes,no
request-1-2-1,this increased demand puts a greater burden on distal resource suppliers,"to meet this demand, suppliers increase resource extraction and production",yes,yes
request-1-2-2,"to meet this demand, suppliers increase resource extraction and production",increased extraction and production lead to increased energy consumption,yes,yes
request-1-2-3,increased extraction and production lead to increased energy consumption,increased energy consumption,yes,yes
request-1-2-4,increased energy consumption,greenhouse gas emissions contribute to climate change and global warming,yes,no
request-1-2-5,greenhouse gas emissions contribute to climate change and global warming,global warming,yes,yes
request-1-2-6,global warming,"these events can cause environmental deficits in cities, such as flooding, coastal erosion, and heatwaves",yes,no
request-2-0-0,business activities lead to increased consumption of fossil fuels for energy,increased consumption of fossil fuels results in higher emissions of greenhouse gases  such as carbon dioxide,yes,yes
request-2-0-1,increased consumption of fossil fuels results in higher emissions of greenhouse gases  such as carbon dioxide,"higher ghg emissions trap more heat in the atmosphere, contributing to global warming",yes,yes
request-2-0-2,"higher ghg emissions trap more heat in the atmosphere, contributing to global warming","global warming causes climate change, leading to rising temperatures, melting glaciers, and sealevel rise",yes,yes
request-2-1-0,business activities drive deforestation for resource extraction,"deforestation reduces the earth's ability to absorb co2, leading to higher atmospheric co2 concentrations",yes,yes
request-2-1-1,"deforestation reduces the earth's ability to absorb co2, leading to higher atmospheric co2 concentrations","higher co2 concentrations trap more heat in the atmosphere, contributing to global warming and climate change",yes,yes
request-2-2-0,"business activities result in increased waste generation, including plastic waste","plastic waste, particularly when burned, releases heattrapping ghgs like methane and nitrous oxide",yes,yes
request-2-2-1,"plastic waste, particularly when burned, releases heattrapping ghgs like methane and nitrous oxide",increased ghg emissions contribute to global warming and climate change,yes,yes
request-2-3-0,"business activities lead to increased transportation needs, resulting in higher vehicle emissions",higher vehicle emissions contribute to elevated atmospheric concentrations of ghgs like co2 and methane,yes,yes
request-2-3-1,higher vehicle emissions contribute to elevated atmospheric concentrations of ghgs like co2 and methane,"increased ghg concentrations trap more heat, leading to global warming and climate change",yes,yes
request-2-4-0,"business activities require cooling, leading to increased use of refrigerants","refrigerants, particularly hydrofluorocarbons , are potent ghgs that leak into the atmosphere",yes,yes
request-2-4-1,"refrigerants, particularly hydrofluorocarbons , are potent ghgs that leak into the atmosphere",hfc emissions contribute to global warming and climate change,yes,yes
request-4-0-0,business expansion,"increased resource extraction,",yes,yes
request-4-0-1,"increased resource extraction,","resulting in deforestation and habitat destruction,",yes,yes
request-4-0-2,"resulting in deforestation and habitat destruction,",which contributes to,yes,yes
request-4-0-3,which contributes to,the degradation of nature,yes,yes
request-4-1-0,"business operations generate waste,","which is often disposed of improperly,",yes,yes
request-4-1-1,"which is often disposed of improperly,",leading to,yes,yes
request-4-1-2,leading to,"soil, water, and air pollution,",yes,yes
request-4-1-3,"soil, water, and air pollution,",ultimately causing,yes,yes
request-4-1-4,ultimately causing,the degradation of nature,yes,yes
request-4-2-0,"business demand for cheap labor,",encourages,yes,yes
request-4-2-1,encourages,"exploitative working conditions,",yes,no
request-4-2-2,"exploitative working conditions,",which can result in,yes,yes
request-4-2-3,which can result in,"increased poverty and social inequality,",yes,yes
request-4-2-4,"increased poverty and social inequality,",leading to,yes,yes
request-4-2-5,leading to,"overexploitation of natural resources,",yes,yes
request-4-2-6,"overexploitation of natural resources,","and consequently,",yes,yes
request-4-2-7,"and consequently,",the degradation of nature,yes,yes
request-4-3-0,"businesses seek to maximize profits,",encouraging,yes,no
