custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-1-0-0,companies and corporations,emit greenhouse gases,yes,yes,yes,yes
request-1-0-1,emit greenhouse gases,increase atmospheric concentration of greenhouse gases,yes,no,yes,yes
request-1-0-2,increase atmospheric concentration of greenhouse gases,trap more heat in the earth's atmosphere,yes,no,yes,yes
request-1-0-3,trap more heat in the earth's atmosphere,raise global temperatures,yes,yes,yes,yes
request-1-0-4,raise global temperatures,affect climate patterns,yes,yes,yes,yes
request-1-0-5,affect climate patterns,impact the climate,yes,yes,yes,yes
request-1-1-0,companies and corporations,engage in deforestation for resources,yes,yes,yes,yes
request-1-1-1,engage in deforestation for resources,reduce the number of trees available to absorb co2,yes,yes,yes,yes
request-1-1-2,reduce the number of trees available to absorb co2,increase co2 concentration in the atmosphere,yes,yes,yes,yes
request-1-1-3,increase co2 concentration in the atmosphere,trap more heat in the earth's atmosphere,yes,no,yes,yes
request-1-1-4,trap more heat in the earth's atmosphere,raise global temperatures,yes,yes,yes,yes
request-1-1-5,raise global temperatures,affect climate patterns,yes,yes,yes,yes
request-1-1-6,affect climate patterns,impact the climate,yes,yes,yes,yes
request-1-2-0,companies and corporations,produce and sell products that consume energy,yes,yes,yes,yes
request-1-2-1,produce and sell products that consume energy,increase energy demand,yes,yes,yes,yes
request-1-2-2,increase energy demand,lead to more fossil fuel extraction and burning,yes,yes,yes,yes
request-1-2-3,lead to more fossil fuel extraction and burning,emit more greenhouse gases,yes,yes,yes,yes
request-1-2-4,emit more greenhouse gases,increase atmospheric concentration of greenhouse gases,yes,no,yes,yes
request-1-2-5,increase atmospheric concentration of greenhouse gases,trap more heat in the earth's atmosphere,yes,no,yes,yes
request-1-2-6,trap more heat in the earth's atmosphere,raise global temperatures,yes,yes,yes,yes
request-1-2-7,raise global temperatures,affect climate patterns,yes,yes,yes,yes
request-1-2-8,affect climate patterns,impact the climate,yes,yes,yes,yes
request-1-3-0,companies and corporations,engage in industrial agriculture,yes,yes,yes,yes
