custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-1-0-0,companies and corporations,industrial activities,yes,no,yes,no
request-1-0-1,industrial activities,greenhouse gas emissions,yes,no,yes,yes
request-1-0-2,greenhouse gas emissions,increased atmospheric carbon dioxide levels,yes,no,yes,yes
request-1-0-3,increased atmospheric carbon dioxide levels,global warming,yes,no,yes,no
request-1-0-4,global warming,changes in the climate,yes,no,yes,no
request-1-1-0,companies and corporations,deforestation activities,yes,no,yes,yes
request-1-1-1,deforestation activities,reduced carbon absorption,yes,no,yes,no
request-1-1-2,reduced carbon absorption,increased greenhouse gas accumulation,yes,yes,yes,yes
request-1-1-3,increased greenhouse gas accumulation,global warming,yes,no,yes,no
request-1-1-4,global warming,changes in the climate,yes,no,yes,no
request-1-2-0,companies and corporations,fossil fuel extraction and usage,yes,no,yes,no
request-1-2-1,fossil fuel extraction and usage,burning of fossil fuels,no,no,yes,no
request-1-2-2,burning of fossil fuels,greenhouse gas emissions,yes,no,yes,no
request-1-2-3,greenhouse gas emissions,global warming,yes,no,yes,no
request-1-2-4,global warming,changes in the climate,yes,no,yes,no
request-1-3-0,companies and corporations,production and transportation activities,yes,no,yes,no
request-1-3-1,production and transportation activities,air pollution,yes,no,yes,yes
request-1-3-2,air pollution,atmospheric chemical changes,yes,yes,yes,yes
request-1-3-3,atmospheric chemical changes,climate disturbances,yes,yes,yes,yes
request-1-3-4,climate disturbances,changes in the climate,yes,yes,yes,yes
request-1-4-0,companies and corporations,overproduction of consumer goods,yes,no,yes,no
request-1-4-1,overproduction of consumer goods,energyintensive manufacturing processes,yes,no,no,yes
request-1-4-2,energyintensive manufacturing processes,greenhouse gas emissions,yes,no,yes,yes
request-1-4-3,greenhouse gas emissions,global warming,yes,no,yes,no
request-1-4-4,global warming,changes in the climate,yes,no,yes,no
request-1-5-0,companies and corporations,excessive waste generation,yes,no,yes,yes
request-1-5-1,excessive waste generation,methane emissions from waste decomposition,yes,no,yes,yes
request-1-5-2,methane emissions from waste decomposition,increased greenhouse gas levels,yes,yes,yes,no
request-1-5-3,increased greenhouse gas levels,global warming,yes,no,yes,no
request-1-5-4,global warming,changes in the climate,yes,no,yes,no
request-1-6-0,companies and corporations,transportation and logistics,no,no,yes,no
request-1-6-1,transportation and logistics,increased emissions from vehicles,yes,no,yes,yes
request-1-6-2,increased emissions from vehicles,air pollution,yes,no,yes,no
request-1-6-3,air pollution,global warming,yes,no,yes,no
request-1-6-4,global warming,changes in the climate,yes,no,yes,no
request-1-7-0,companies and corporations,reliance on nonrenewable energy sources,yes,no,no,no
request-1-7-1,reliance on nonrenewable energy sources,increased greenhouse gas emissions,yes,no,yes,no
request-1-7-2,increased greenhouse gas emissions,global warming,yes,no,yes,no
request-1-7-3,global warming,changes in the climate,yes,no,yes,no
request-1-8-0,companies and corporations,water pollution,yes,no,yes,yes
request-1-8-1,water pollution,disruption of ecosystems,yes,yes,yes,yes
