cause,effect,custom_id
cities' burden on distal resource suppliers,increased transportation demands,request-1-0-0
increased transportation demands,higher fuel consumption,request-1-0-1
higher fuel consumption,elevated greenhouse gas emissions,request-1-0-2
elevated greenhouse gas emissions,air quality degradation,request-1-0-3
air quality degradation,environmental deficits in cities,request-1-0-4
cities' burden on distal resource suppliers,reliance on non-local resources,request-1-1-0
reliance on non-local resources,vulnerability to supply disruptions,request-1-1-1
vulnerability to supply disruptions,"increased use of alternative, often less sustainable resources",request-1-1-2
"increased use of alternative, often less sustainable resources",environmental degradation from alternative resource extraction,request-1-1-3
environmental degradation from alternative resource extraction,environmental deficits in cities,request-1-1-4
cities' burden on distal resource suppliers,overexploitation of distant resources,request-1-2-0
overexploitation of distant resources,depletion of natural resources,request-1-2-1
depletion of natural resources,increased operational costs,request-1-2-2
increased operational costs,insufficient investment in sustainable practices,request-1-2-3
insufficient investment in sustainable practices,environmental deficits in cities,request-1-2-4
cities' burden on distal resource suppliers,extended supply chains,request-1-3-0
extended supply chains,higher energy consumption for transportation and logistics,request-1-3-1
higher energy consumption for transportation and logistics,greater carbon footprint,request-1-3-2
greater carbon footprint,intensified climate impacts,request-1-3-3
intensified climate impacts,environmental deficits in cities,request-1-3-4
cities' burden on distal resource suppliers,increased waste generation from complex supply processes,request-1-4-0
increased waste generation from complex supply processes,inadequate waste management systems,request-1-4-1
inadequate waste management systems,pollution and resource inefficiency,request-1-4-2
pollution and resource inefficiency,environmental deficits in cities,request-1-4-3
business,industrial activities,request-2-0-0
industrial activities,greenhouse gas emissions,request-2-0-1
greenhouse gas emissions,global warming,request-2-0-2
global warming,climate change,request-2-0-3
business,deforestation activities,request-2-1-0
deforestation activities,reduced carbon sequestration,request-2-1-1
reduced carbon sequestration,increased atmospheric co₂,request-2-1-2
increased atmospheric co₂,climate change,request-2-1-3
business,transportation sector expansion,request-2-2-0
transportation sector expansion,fossil fuel consumption,request-2-2-1
fossil fuel consumption,increased co₂ emissions,request-2-2-2
increased co₂ emissions,climate change,request-2-2-3
business,energy production from fossil fuels,request-2-3-0
energy production from fossil fuels,air pollution,request-2-3-1
air pollution,global temperature rise,request-2-3-2
global temperature rise,climate change,request-2-3-3
business,manufacturing processes,request-2-4-0
manufacturing processes,resource extraction,request-2-4-1
resource extraction,environmental degradation,request-2-4-2
environmental degradation,climate change,request-2-4-3
business expansion,increased resource extraction,request-3-0-0
increased resource extraction,habitat destruction,request-3-0-1
habitat destruction,loss of biodiversity,request-3-0-2
business production,higher pollution levels,request-3-1-0
higher pollution levels,water contamination,request-3-1-1
water contamination,loss of biodiversity,request-3-1-2
business agriculture practices,use of pesticides,request-3-2-0
use of pesticides,soil degradation,request-3-2-1
soil degradation,loss of biodiversity,request-3-2-2
business deforestation,carbon emissions rise,request-3-3-0
carbon emissions rise,climate change acceleration,request-3-3-1
climate change acceleration,loss of biodiversity,request-3-3-2
business waste generation,improper waste disposal,request-3-4-0
improper waste disposal,marine ecosystem disruption,request-3-4-1
marine ecosystem disruption,loss of biodiversity,request-3-4-2
business infrastructure development,urbanization,request-3-5-0
urbanization,fragmented habitats,request-3-5-1
fragmented habitats,loss of biodiversity,request-3-5-2
business overfishing,decline in fish populations,request-3-6-0
