custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,cities' burden on distal resource suppliers,overextraction of resources,yes,yes
request-1-0-1,overextraction of resources,depletion of supplier ecosystems,yes,yes
request-1-0-2,depletion of supplier ecosystems,reduced regenerative capacity of natural systems,yes,yes
request-1-0-3,reduced regenerative capacity of natural systems,increased reliance on synthetic alternatives,yes,yes
request-1-0-4,increased reliance on synthetic alternatives,accumulation of nonbiodegradable waste in cities,yes,no
request-1-0-5,accumulation of nonbiodegradable waste in cities,environmental deficits in cities,yes,yes
request-1-1-0,cities' burden on distal resource suppliers,longdistance transportation networks,yes,yes
request-1-1-1,longdistance transportation networks,greenhouse gas emissions from freight,yes,yes
request-1-1-2,greenhouse gas emissions from freight,localized air quality deterioration,"yes greenhouse gas emissions from freight can contribute to localized air quality deterioration, as they can include pollutants such as nitrogen oxides (nox) and particulate matter, which are harmful to human health",no
request-1-1-3,localized air quality deterioration,urban heat island intensification,yes,"yes urban heat island intensification can lead to localized air quality deterioration warmer temperatures can increase the formation of ground-level ozone and other pollutants, which can contribute to poorer air quality"
request-1-1-4,urban heat island intensification,environmental deficits in cities,"yes urban heat island intensification leads to higher temperatures in urban areas compared to their rural surroundings, which can exacerbate environmental deficits such as increased energy consumption for cooling, reduced air quality, and elevated levels of pollution it also affects local weather patterns and can contribute to the degradation of urban ecosystems",yes
request-1-2-0,cities' burden on distal resource suppliers,displacement of indigenous land stewardship,yes,yes
request-1-2-1,displacement of indigenous land stewardship,unsustainable agricultural practices in supplier regions,yes,yes
request-1-2-2,unsustainable agricultural practices in supplier regions,soil erosion and water contamination,yes,yes
request-1-2-3,soil erosion and water contamination,disrupted nutrient cycles,yes,"yes disrupted nutrient cycles can lead to soil erosion and water contamination, as imbalances can cause soil degradation, which in turn can result in increased runoff and erosion, leading to the contamination of water bodies"
request-1-2-4,disrupted nutrient cycles,degraded food quality imported to cities,"no disrupted nutrient cycles primarily affect local ecosystems and food production, not the quality of food imported to cities the quality of imported food is influenced by different factors such as transportation, storage, and handling practices",yes
request-1-2-5,degraded food quality imported to cities,organic waste mismanagement,yes,no
request-1-2-6,organic waste mismanagement,environmental deficits in cities,yes,yes
request-1-3-0,cities' burden on distal resource suppliers,economic pressure on suppliers to prioritize quantity over sustainability,yes,yes
request-1-3-1,economic pressure on suppliers to prioritize quantity over sustainability,monoculture farming expansion,"yes economic pressures on suppliers often lead to a focus on quantity to meet market demands and reduce costs, which can result in the expansion of monoculture farming practices monoculture is the agricultural practice of growing a single crop in a field or farming system at a time, which can be more profitable in the short term but often at the expense of sustainability and biodiversity",yes
