cause,effect,custom_id
companies and corporations,industrial emissions,request-1-0-0
industrial emissions,greenhouse gas accumulation,request-1-0-1
greenhouse gas accumulation,global temperature rise,request-1-0-2
global temperature rise,climate destabilization,request-1-0-3
companies and corporations,deforestation practices,request-1-1-0
deforestation practices,carbon sink reduction,request-1-1-1
carbon sink reduction,atmospheric co₂ increase,request-1-1-2
atmospheric co₂ increase,climate system disruption,request-1-1-3
companies and corporations,fossil fuel extraction,request-1-2-0
fossil fuel extraction,combustionrelated pollution,request-1-2-1
combustionrelated pollution,ocean acidification,request-1-2-2
ocean acidification,marine ecosystem collapse,request-1-2-3
marine ecosystem collapse,altered climate regulation,request-1-2-4
companies and corporations,plastic production,request-1-3-0
plastic production,microplastic contamination,request-1-3-1
microplastic contamination,soil and water toxicity,request-1-3-2
soil and water toxicity,reduced biodiversity,request-1-3-3
reduced biodiversity,ecosystemdriven climate feedbacks,request-1-3-4
companies and corporations,excessive resource consumption,request-1-4-0
excessive resource consumption,land degradation,request-1-4-1
land degradation,desertification,request-1-4-2
desertification,regional precipitation shifts,request-1-4-3
regional precipitation shifts,climate pattern alteration,request-1-4-4
companies and corporations,refrigerant chemical use,request-1-5-0
refrigerant chemical use,hydrofluorocarbon  release,request-1-5-1
hydrofluorocarbon  release,enhanced greenhouse effect,request-1-5-2
enhanced greenhouse effect,polar ice melt,request-1-5-3
polar ice melt,sealevel risedriven climate impacts  ,request-1-5-4
buying from companies that mess the climate,increased revenue for climatedamaging companies,request-2-0-0
increased revenue for climatedamaging companies,reinvestment in carbonintensive operations,request-2-0-1
reinvestment in carbonintensive operations,expansion of fossil fuel infrastructure,request-2-0-2
expansion of fossil fuel infrastructure,continued reliance on nonrenewable energy sources,request-2-0-3
continued reliance on nonrenewable energy sources,sustained greenhouse gas emissions,request-2-0-4
sustained greenhouse gas emissions,reduced regulatory pressure due to economic dependence,request-2-0-5
reduced regulatory pressure due to economic dependence,maintenance of climatedamaging business models,request-2-0-6
maintenance of climatedamaging business models,keeping of climatedamaging companies,request-2-0-7
buying from companies that mess the climate,consumer demand for environmentally harmful products,request-2-1-0
consumer demand for environmentally harmful products,maintenance of existing production practices,request-2-1-1
maintenance of existing production practices,delayed adoption of sustainable alternatives,request-2-1-2
delayed adoption of sustainable alternatives,continued profitability of climatedamaging companies,request-2-1-3
continued profitability of climatedamaging companies,lack of market incentives for green innovation,request-2-1-4
lack of market incentives for green innovation,entrenchment of climatedamaging companies in the economy,request-2-1-5
entrenchment of climatedamaging companies in the economy,keeping of climatedamaging companies,request-2-1-6
buying from companies that mess the climate,higher market valuation of climatedamaging companies,request-2-2-0
higher market valuation of climatedamaging companies,increased investment in climatedamaging sectors,request-2-2-1
increased investment in climatedamaging sectors,prolonged operation of carbonintensive industries,request-2-2-2
prolonged operation of carbonintensive industries,delayed transition to sustainable practices,request-2-2-3
delayed transition to sustainable practices,persistent market presence of climatedamaging companies,request-2-2-4
persistent market presence of climatedamaging companies,keeping of climatedamaging companies,request-2-2-5
buying from companies that mess the climate,revenue growth of climatedamaging companies,request-2-3-0
revenue growth of climatedamaging companies,increased political lobbying by corporate entities,request-2-3-1
increased political lobbying by corporate entities,weakened environmental regulations,request-2-3-2
weakened environmental regulations,continuation of environmentally harmful practices,request-2-3-3
continuation of environmentally harmful practices,sustained profitability of climatedamaging companies,request-2-3-4
sustained profitability of climatedamaging companies,keeping of climatedamaging companies,request-2-3-5
systemic change,policy reforms,request-3-0-0
policy reforms,stricter environmental regulations,request-3-0-1
stricter environmental regulations,reduced carbon emissions,request-3-0-2
reduced carbon emissions,slowed global warming,request-3-0-3
slowed global warming,progress in climate change,request-3-0-4
systemic change,renewable energy investments,request-3-1-0
renewable energy investments,technological advancements,request-3-1-1
technological advancements,increased clean energy adoption,request-3-1-2
increased clean energy adoption,fossil fuel displacement,request-3-1-3
fossil fuel displacement,progress in climate change,request-3-1-4
systemic change,public education campaigns,request-3-2-0
public education campaigns,behavioral shifts,request-3-2-1
behavioral shifts,sustainable consumption patterns,request-3-2-2
sustainable consumption patterns,reduced resource depletion,request-3-2-3
reduced resource depletion,progress in climate change,request-3-2-4
systemic change,carbon pricing mechanisms,request-3-3-0
carbon pricing mechanisms,corporate decarbonization,request-3-3-1
corporate decarbonization,lower industrial emissions,request-3-3-2
lower industrial emissions,atmospheric co₂ stabilization,request-3-3-3
atmospheric co₂ stabilization,progress in climate change,request-3-3-4
systemic change,international climate agreements,request-3-4-0
international climate agreements,crossborder collaboration,request-3-4-1
crossborder collaboration,coordinated emission cuts,request-3-4-2
coordinated emission cuts,mitigated temperature rise,request-3-4-3
mitigated temperature rise,progress in climate change,request-3-4-4
systemic change,green infrastructure development,request-3-5-0
green infrastructure development,efficient transportation systems,request-3-5-1
efficient transportation systems,reduced vehicular pollution,request-3-5-2
reduced vehicular pollution,improved air quality,request-3-5-3
improved air quality,progress in climate change,request-3-5-4
systemic change,agricultural innovation,request-3-6-0
agricultural innovation,sustainable farming practices,request-3-6-1
sustainable farming practices,lower methane output,request-3-6-2
lower methane output,reduced greenhouse effect,request-3-6-3
reduced greenhouse effect,progress in climate change,request-3-6-4
systemic change,circular economy adoption,request-3-7-0
circular economy adoption,waste minimization,request-3-7-1
waste minimization,resource efficiency,request-3-7-2
resource efficiency,lowered environmental strain,request-3-7-3
lowered environmental strain,progress in climate change,request-3-7-4
ultra wealthy people,ownership of multiple large homes,request-4-0-0
ownership of multiple large homes,increased energy consumption for heating/cooling,request-4-0-1
increased energy consumption for heating/cooling,higher fossil fuel usage,request-4-0-2
higher fossil fuel usage,more carbon footprint,request-4-0-3
ultra wealthy people,frequent private jet travel,request-4-1-0
frequent private jet travel,high aviation fuel consumption,request-4-1-1
high aviation fuel consumption,elevated co₂ emissions,request-4-1-2
elevated co₂ emissions,more carbon footprint,request-4-1-3
ultra wealthy people,investments in carbonintensive industries,request-4-2-0
investments in carbonintensive industries,expansion of fossil fuel infrastructure,request-4-2-1
expansion of fossil fuel infrastructure,accelerated greenhouse gas emissions,request-4-2-2
accelerated greenhouse gas emissions,more carbon footprint,request-4-2-3
ultra wealthy people,luxury yacht ownership,request-4-3-0
luxury yacht ownership,high marine fuel consumption,request-4-3-1
high marine fuel consumption,significant particulate and co₂ emissions,request-4-3-2
significant particulate and co₂ emissions,more carbon footprint,request-4-3-3
ultra wealthy people,demand for exclusive goods/services,request-4-4-0
demand for exclusive goods/services,resourceheavy production processes,request-4-4-1
resourceheavy production processes,increased industrial emissions,request-4-4-2
increased industrial emissions,more carbon footprint,request-4-4-3
ultra wealthy people,philanthropic funding of antiregulation policies,request-4-5-0
philanthropic funding of antiregulation policies,weakened environmental protections,request-4-5-1
weakened environmental protections,unrestricted industrial pollution,request-4-5-2
unrestricted industrial pollution,more carbon footprint,request-4-5-3
ultra wealthy people,largescale land acquisitions,request-4-6-0
largescale land acquisitions,deforestation for luxury estates,request-4-6-1
deforestation for luxury estates,reduced carbon sequestration capacity,request-4-6-2
reduced carbon sequestration capacity,more carbon footprint,request-4-6-3
ultra wealthy people,highwaste lifestyles,request-4-7-0
highwaste lifestyles,excessive nonrecyclable material disposal,request-4-7-1
excessive nonrecyclable material disposal,methane release from landfills,request-4-7-2
methane release from landfills,more carbon footprint,request-4-7-3
porcine waste containment pools breaking loose,untreated manure discharge into waterways,request-5-0-0
untreated manure discharge into waterways,nutrient overload in aquatic ecosystems,request-5-0-1
nutrient overload in aquatic ecosystems,algal blooms and eutrophication,request-5-0-2
algal blooms and eutrophication,oxygen depletion in water bodies,request-5-0-3
oxygen depletion in water bodies,massive fish kills and biodiversity loss,request-5-0-4
massive fish kills and biodiversity loss,collapse of aquatic food chains,request-5-0-5
collapse of aquatic food chains,massive environmental damage,request-5-0-6
porcine waste containment pools breaking loose,manure seepage into groundwater,request-5-1-0
manure seepage into groundwater,contamination of drinking water sources,request-5-1-1
contamination of drinking water sources,toxic nitrate levels in human and animal supplies,request-5-1-2
toxic nitrate levels in human and animal supplies,ecosystemwide health disruptions,request-5-1-3
ecosystemwide health disruptions,longterm habitat degradation,request-5-1-4
longterm habitat degradation,massive environmental damage,request-5-1-5
porcine waste containment pools breaking loose,release of methane and ammonia gases,request-5-2-0
release of methane and ammonia gases,atmospheric pollution and greenhouse gas amplification,request-5-2-1
atmospheric pollution and greenhouse gas amplification,accelerated climate change impacts,request-5-2-2
accelerated climate change impacts,extreme weather events and habitat destabilization,request-5-2-3
extreme weather events and habitat destabilization,massive environmental damage,request-5-2-4
porcine waste containment pools breaking loose,pathogen and antibioticresistant bacteria spread,request-5-3-0
pathogen and antibioticresistant bacteria spread,soil and crop contamination,request-5-3-1
soil and crop contamination,disruption of terrestrial ecosystems,request-5-3-2
disruption of terrestrial ecosystems,loss of pollinators and keystone species,request-5-3-3
loss of pollinators and keystone species,ecological imbalance,request-5-3-4
ecological imbalance,massive environmental damage  ,request-5-3-5
having fewer children,reduced population growth,request-6-0-0
reduced population growth,lower aggregate resource consumption,request-6-0-1
lower aggregate resource consumption,decreased carbonintensive production,request-6-0-2
decreased carbonintensive production,reduced carbon footprint,request-6-0-3
having fewer children,smaller family size,request-6-1-0
smaller family size,reduced household energy demand,request-6-1-1
reduced household energy demand,lower fossil fuel combustion,request-6-1-2
lower fossil fuel combustion,decreased carbon footprint,request-6-1-3
having fewer children,slower demographic expansion,request-6-2-0
slower demographic expansion,less urban sprawl,request-6-2-1
