cause,effect,custom_id
buying from companies that mess the climate,supporting companies that harm the environment,request-2-0-0
supporting companies that harm the environment,investing in companies with poor environmental practices,request-2-0-1
investing in companies with poor environmental practices,reinforcing the market presence of climatedamaging companies,request-2-0-2
reinforcing the market presence of climatedamaging companies,keeping of climatedamaging companies,request-2-0-3
buying from companies that mess the climate,purchasing products from companies with high carbon footprints,request-2-1-0
purchasing products from companies with high carbon footprints,contributing to the profitability of polluting industries,request-2-1-1
contributing to the profitability of polluting industries,encouraging continued operations of environmentally harmful companies,request-2-1-2
encouraging continued operations of environmentally harmful companies,keeping of climatedamaging companies,request-2-1-3
buying from companies that mess the climate,buying goods with unsustainable supply chains,request-2-2-0
buying goods with unsustainable supply chains,facilitating the exploitation of natural resources,request-2-2-1
facilitating the exploitation of natural resources,promoting the expansion of industries that damage the climate,request-2-2-2
promoting the expansion of industries that damage the climate,keeping of climatedamaging companies,request-2-2-3
buying from companies that mess the climate,purchasing products from companies with unsustainable practices,request-2-3-0
purchasing products from companies with unsustainable practices,funding the operations of environmentally harmful businesses,request-2-3-1
funding the operations of environmentally harmful businesses,maintaining the status quo of climatedamaging companies,request-2-3-2
maintaining the status quo of climatedamaging companies,keeping of climatedamaging companies,request-2-3-3
government implements policies to reduce carbon emissions,companies invest in renewable energy sources,request-3-0-0
companies invest in renewable energy sources,renewable energy industry grows,request-3-0-1
renewable energy industry grows,fossil fuel industry declines,request-3-0-2
fossil fuel industry declines,global greenhouse gas emissions decrease,request-3-0-3
global greenhouse gas emissions decrease,climate change slows down,request-3-0-4
climate change slows down,progress in combating climate change is observed,request-3-0-5
international agreements are signed to combat climate change,countries commit to reducing emissions,request-3-1-0
countries commit to reducing emissions,renewable energy technologies advance,request-3-1-1
renewable energy technologies advance,investment in green infrastructure increases,request-3-1-2
investment in green infrastructure increases,energy efficiency improves,request-3-1-3
energy efficiency improves,carbon footprint of nations decreases,request-3-1-4
carbon footprint of nations decreases,progress in combating climate change is observed,request-3-1-5
public awareness of climate change increases,individuals and communities adopt sustainable practices,request-3-2-0
individuals and communities adopt sustainable practices,demand for ecofriendly products rises,request-3-2-1
demand for ecofriendly products rises,businesses respond with sustainable product offerings,request-3-2-2
businesses respond with sustainable product offerings,green technologies become more prevalent,request-3-2-3
green technologies become more prevalent,reduction in carbon emissions from consumer behavior,request-3-2-4
reduction in carbon emissions from consumer behavior,progress in combating climate change is observed,request-3-2-5
education systems incorporate climate change into curricula,future generations become more informed about climate issues,request-3-3-0
future generations become more informed about climate issues,increased public support for climate action,request-3-3-1
increased public support for climate action,political leaders prioritize climate policies,request-3-3-2
political leaders prioritize climate policies,significant investments in climate research and innovation,request-3-3-3
significant investments in climate research and innovation,new technologies for carbon capture and storage developed,request-3-3-4
new technologies for carbon capture and storage developed,reduction in atmospheric carbon levels,request-3-3-5
reduction in atmospheric carbon levels,progress in combating climate change is observed,request-3-3-6
ultra wealthy people,invest in fossil fuel industries,request-4-0-0
invest in fossil fuel industries,increase demand for oil and gas,request-4-0-1
increase demand for oil and gas,fuel consumption rises,request-4-0-2
fuel consumption rises,carbon emissions from transportation increase,request-4-0-3
carbon emissions from transportation increase,industrial activities expand,request-4-0-4
industrial activities expand,energy production intensifies,request-4-0-5
energy production intensifies,more carbon footprint,request-4-0-6
ultra wealthy people,build luxurious homes,request-4-1-0
build luxurious homes,high energy consumption in residences,request-4-1-1
high energy consumption in residences,increased electricity demand,request-4-1-2
increased electricity demand,energy production from fossil fuels rises,request-4-1-3
energy production from fossil fuels rises,carbon emissions from power plants increase,request-4-1-4
carbon emissions from power plants increase,industrial activities expand,request-4-1-5
industrial activities expand,energy production intensifies,request-4-1-6
energy production intensifies,more carbon footprint,request-4-1-7
ultra wealthy people,travel frequently in private jets,request-4-2-0
travel frequently in private jets,high carbon emissions from aviation,request-4-2-1
high carbon emissions from aviation,air travel demand increases,request-4-2-2
air travel demand increases,energy production for aviation expands,request-4-2-3
energy production for aviation expands,carbon emissions from fuel production rise,request-4-2-4
