custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,"""cities' burden on distal resource suppliers""","""increased extraction of natural resources""",yes,yes
request-1-0-1,"""increased extraction of natural resources""","""depletion of ecosystems in resource supply areas""",yes,yes
request-1-0-2,"""depletion of ecosystems in resource supply areas""","""loss of ecosystem services""",yes,yes
request-1-0-3,"""loss of ecosystem services""","""reduced environmental capacity in cities""",yes,yes
request-1-0-4,"""reduced environmental capacity in cities""","""environmental deficits in cities""",yes,yes
request-1-1-0,"""cities' burden on distal resource suppliers""","""transportation of resources over long distances""",yes,yes
request-1-1-1,"""transportation of resources over long distances""","""increased greenhouse gas emissions""",yes,no
request-1-1-2,"""increased greenhouse gas emissions""","""climate change effects in urban areas""",yes,no
request-1-1-3,"""climate change effects in urban areas""","""environmental deficits in cities""",yes,yes
request-1-2-0,"""cities' burden on distal resource suppliers""","""reliance on unsustainable resource supply chains""",yes,yes
request-1-2-1,"""reliance on unsustainable resource supply chains""","""degradation of natural environments""",yes,yes
request-1-2-2,"""degradation of natural environments""","""increased vulnerability to resource scarcity""",yes,yes
request-1-2-3,"""increased vulnerability to resource scarcity""","""environmental deficits in cities""",yes,yes
request-1-3-0,"""cities' burden on distal resource suppliers""","""mismanagement of waste products from resource use""",no,yes
request-1-3-1,"""mismanagement of waste products from resource use""","""accumulation of pollution in cities and elsewhere""",yes,no
request-1-3-2,"""accumulation of pollution in cities and elsewhere""","""deterioration of urban air and water quality""",yes,yes
request-1-3-3,"""deterioration of urban air and water quality""","""environmental deficits in cities""",yes,yes
request-1-4-0,"""cities' burden on distal resource suppliers""","""pressure on global resource markets""",yes,yes
request-1-4-1,"""pressure on global resource markets""","""increased competition for resources""",yes,yes
request-1-4-2,"""increased competition for resources""","""rising costs and reduced resource availability""",yes,yes
request-1-4-3,"""rising costs and reduced resource availability""","""environmental deficits in cities""  ",yes,yes
request-2-0-0,business,industrial activities,yes,yes
request-2-0-1,industrial activities,greenhouse gas emissions,yes,no
request-2-0-2,greenhouse gas emissions,global warming,yes,no
request-2-0-3,global warming,climate change,yes,yes
request-2-1-0,business,energy consumption,yes,no
request-2-1-1,energy consumption,fossil fuel use,no,yes
request-2-1-2,fossil fuel use,carbon dioxide release,yes,no
request-2-1-3,carbon dioxide release,climate change,yes,yes
request-2-2-0,business,deforestation,yes,no
request-2-2-1,deforestation,loss of carbon sinks,yes,no
request-2-2-2,loss of carbon sinks,increased greenhouse gas levels,yes,yes
request-2-2-3,increased greenhouse gas levels,climate change,yes,yes
request-2-3-0,business,production processes,yes,yes
request-2-3-1,production processes,pollution,yes,no
request-2-3-2,pollution,environmental degradation,yes,yes
request-2-3-3,environmental degradation,climate change,yes,yes
request-2-4-0,business,transportation systems,yes,no
request-2-4-1,transportation systems,fuel combustion,yes,yes
request-2-4-2,fuel combustion,greenhouse gas accumulation,yes,no
request-2-4-3,greenhouse gas accumulation,climate change,yes,yes
request-2-5-0,business,agricultural expansion,yes,yes
request-2-5-1,agricultural expansion,methane emissions,yes,no
