cause,effect,custom_id
"""cities' burden on distal resource suppliers""","""increased extraction of natural resources""",request-1-0-0
"""increased extraction of natural resources""","""depletion of ecosystems in resource supply areas""",request-1-0-1
"""depletion of ecosystems in resource supply areas""","""loss of ecosystem services""",request-1-0-2
"""loss of ecosystem services""","""reduced environmental capacity in cities""",request-1-0-3
"""reduced environmental capacity in cities""","""environmental deficits in cities""",request-1-0-4
"""cities' burden on distal resource suppliers""","""transportation of resources over long distances""",request-1-1-0
"""transportation of resources over long distances""","""increased greenhouse gas emissions""",request-1-1-1
"""increased greenhouse gas emissions""","""climate change effects in urban areas""",request-1-1-2
"""climate change effects in urban areas""","""environmental deficits in cities""",request-1-1-3
"""cities' burden on distal resource suppliers""","""reliance on unsustainable resource supply chains""",request-1-2-0
"""reliance on unsustainable resource supply chains""","""degradation of natural environments""",request-1-2-1
"""degradation of natural environments""","""increased vulnerability to resource scarcity""",request-1-2-2
"""increased vulnerability to resource scarcity""","""environmental deficits in cities""",request-1-2-3
"""cities' burden on distal resource suppliers""","""mismanagement of waste products from resource use""",request-1-3-0
"""mismanagement of waste products from resource use""","""accumulation of pollution in cities and elsewhere""",request-1-3-1
"""accumulation of pollution in cities and elsewhere""","""deterioration of urban air and water quality""",request-1-3-2
"""deterioration of urban air and water quality""","""environmental deficits in cities""",request-1-3-3
"""cities' burden on distal resource suppliers""","""pressure on global resource markets""",request-1-4-0
"""pressure on global resource markets""","""increased competition for resources""",request-1-4-1
"""increased competition for resources""","""rising costs and reduced resource availability""",request-1-4-2
"""rising costs and reduced resource availability""","""environmental deficits in cities""  ",request-1-4-3
business,industrial activities,request-2-0-0
industrial activities,greenhouse gas emissions,request-2-0-1
greenhouse gas emissions,global warming,request-2-0-2
global warming,climate change,request-2-0-3
business,energy consumption,request-2-1-0
energy consumption,fossil fuel use,request-2-1-1
fossil fuel use,carbon dioxide release,request-2-1-2
carbon dioxide release,climate change,request-2-1-3
business,deforestation,request-2-2-0
deforestation,loss of carbon sinks,request-2-2-1
loss of carbon sinks,increased greenhouse gas levels,request-2-2-2
increased greenhouse gas levels,climate change,request-2-2-3
business,production processes,request-2-3-0
production processes,pollution,request-2-3-1
pollution,environmental degradation,request-2-3-2
environmental degradation,climate change,request-2-3-3
business,transportation systems,request-2-4-0
transportation systems,fuel combustion,request-2-4-1
fuel combustion,greenhouse gas accumulation,request-2-4-2
