custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,cities' burden on distal resource suppliers,depletion of remote resources,yes,yes
request-1-0-1,depletion of remote resources,resource scarcity in supply markets,yes,no
request-1-0-2,resource scarcity in supply markets,increased resource prices,yes,yes
request-1-0-3,increased resource prices,higher resource costs for cities,yes,yes
request-1-0-4,higher resource costs for cities,increased urban consumption,yes,yes
request-1-0-5,increased urban consumption,increased waste production in cities,yes,yes
request-1-0-6,increased waste production in cities,environmental deficits in cities,yes,yes
request-1-1-0,cities' burden on distal resource suppliers,overexploitation of remote ecosystems,yes,yes
request-1-1-1,overexploitation of remote ecosystems,loss of biodiversity,yes,no
request-1-1-2,loss of biodiversity,disruption of ecological balances,yes,yes
request-1-1-3,disruption of ecological balances,global climate changes,yes,yes
request-1-1-4,global climate changes,urban climate impacts,yes,no
request-1-1-5,urban climate impacts,environmental deficits in cities,yes,yes
request-1-2-0,cities' burden on distal resource suppliers,increased transportation of resources,yes,yes
request-1-2-1,increased transportation of resources,higher greenhouse gas emissions,yes,no
request-1-2-2,higher greenhouse gas emissions,acceleration of climate change,yes,no
request-1-2-3,acceleration of climate change,increased frequency of extreme weather events,yes,no
request-1-2-4,increased frequency of extreme weather events,urban infrastructure damage,yes,no
request-1-2-5,urban infrastructure damage,environmental deficits in cities,yes,yes
request-1-3-0,cities' burden on distal resource suppliers,deforestation in supply regions,yes,yes
request-1-3-1,deforestation in supply regions,loss of carbon sinks,yes,no
request-1-3-2,loss of carbon sinks,elevated atmospheric co₂ levels,yes,yes
request-1-3-3,elevated atmospheric co₂ levels,climate change impacts,yes,yes
request-1-3-4,climate change impacts,urban heat islands,yes,yes
request-1-3-5,urban heat islands,environmental deficits in cities,yes,yes
request-1-4-0,cities' burden on distal resource suppliers,pollution from extraction and transport,yes,yes
request-1-4-1,pollution from extraction and transport,global pollutant circulation,yes,yes
request-1-4-2,global pollutant circulation,urban pollution influx,yes,yes
request-1-4-3,urban pollution influx,degraded urban environments,yes,yes
request-1-4-4,degraded urban environments,environmental deficits in cities,yes,yes
request-1-5-0,cities' burden on distal resource suppliers,social instability in supply regions,yes,yes
request-1-5-1,social instability in supply regions,disruption of resource supplies,yes,yes
request-1-5-2,disruption of resource supplies,resource shortages in cities,yes,yes
request-1-5-3,resource shortages in cities,compromised urban services,yes,yes
request-1-5-4,compromised urban services,environmental deficits in cities,yes,yes
request-2-0-0,business,industrial activities,yes,no
request-2-0-1,industrial activities,greenhouse gas emissions,yes,no
request-2-0-2,greenhouse gas emissions,climate change,yes,no
request-2-1-0,business,fossil fuel consumption,yes,yes
request-2-1-1,fossil fuel consumption,carbon dioxide emissions,yes,no
request-2-1-2,carbon dioxide emissions,climate change,yes,no
request-2-2-0,business,deforestation,yes,no
request-2-2-1,deforestation,loss of carbon sinks,yes,no
request-2-2-2,loss of carbon sinks,increased atmospheric co2,yes,no
request-2-2-3,increased atmospheric co2,climate change,yes,yes
request-2-3-0,business,energy production,yes,no
request-2-3-1,energy production,burning of fossil fuels,yes,yes
request-2-3-2,burning of fossil fuels,greenhouse gas accumulation,yes,no
request-2-3-3,greenhouse gas accumulation,climate change,yes,yes
request-2-4-0,business,transportation needs,yes,yes
request-2-4-1,transportation needs,vehicle emissions,yes,no
request-2-4-2,vehicle emissions,air pollution,yes,yes
request-2-4-3,air pollution,climate change,no,no
