cause,effect,custom_id
cities' burden on distal resource suppliers,depletion of remote resources,request-1-0-0
depletion of remote resources,resource scarcity in supply markets,request-1-0-1
resource scarcity in supply markets,increased resource prices,request-1-0-2
increased resource prices,higher resource costs for cities,request-1-0-3
higher resource costs for cities,increased urban consumption,request-1-0-4
increased urban consumption,increased waste production in cities,request-1-0-5
increased waste production in cities,environmental deficits in cities,request-1-0-6
cities' burden on distal resource suppliers,overexploitation of remote ecosystems,request-1-1-0
overexploitation of remote ecosystems,loss of biodiversity,request-1-1-1
loss of biodiversity,disruption of ecological balances,request-1-1-2
disruption of ecological balances,global climate changes,request-1-1-3
global climate changes,urban climate impacts,request-1-1-4
urban climate impacts,environmental deficits in cities,request-1-1-5
cities' burden on distal resource suppliers,increased transportation of resources,request-1-2-0
increased transportation of resources,higher greenhouse gas emissions,request-1-2-1
higher greenhouse gas emissions,acceleration of climate change,request-1-2-2
acceleration of climate change,increased frequency of extreme weather events,request-1-2-3
increased frequency of extreme weather events,urban infrastructure damage,request-1-2-4
urban infrastructure damage,environmental deficits in cities,request-1-2-5
cities' burden on distal resource suppliers,deforestation in supply regions,request-1-3-0
deforestation in supply regions,loss of carbon sinks,request-1-3-1
loss of carbon sinks,elevated atmospheric co₂ levels,request-1-3-2
elevated atmospheric co₂ levels,climate change impacts,request-1-3-3
climate change impacts,urban heat islands,request-1-3-4
urban heat islands,environmental deficits in cities,request-1-3-5
cities' burden on distal resource suppliers,pollution from extraction and transport,request-1-4-0
pollution from extraction and transport,global pollutant circulation,request-1-4-1
global pollutant circulation,urban pollution influx,request-1-4-2
urban pollution influx,degraded urban environments,request-1-4-3
degraded urban environments,environmental deficits in cities,request-1-4-4
cities' burden on distal resource suppliers,social instability in supply regions,request-1-5-0
social instability in supply regions,disruption of resource supplies,request-1-5-1
disruption of resource supplies,resource shortages in cities,request-1-5-2
resource shortages in cities,compromised urban services,request-1-5-3
compromised urban services,environmental deficits in cities,request-1-5-4
business,industrial activities,request-2-0-0
industrial activities,greenhouse gas emissions,request-2-0-1
greenhouse gas emissions,climate change,request-2-0-2
business,fossil fuel consumption,request-2-1-0
fossil fuel consumption,carbon dioxide emissions,request-2-1-1
carbon dioxide emissions,climate change,request-2-1-2
business,deforestation,request-2-2-0
deforestation,loss of carbon sinks,request-2-2-1
loss of carbon sinks,increased atmospheric co2,request-2-2-2
increased atmospheric co2,climate change,request-2-2-3
business,energy production,request-2-3-0
energy production,burning of fossil fuels,request-2-3-1
burning of fossil fuels,greenhouse gas accumulation,request-2-3-2
greenhouse gas accumulation,climate change,request-2-3-3
business,transportation needs,request-2-4-0
transportation needs,vehicle emissions,request-2-4-1
vehicle emissions,air pollution,request-2-4-2
air pollution,climate change,request-2-4-3
business,manufacturing processes,request-2-5-0
manufacturing processes,methane emissions,request-2-5-1
methane emissions,climate change,request-2-5-2
business,agricultural expansion,request-2-6-0
agricultural expansion,nitrous oxide emissions,request-2-6-1
nitrous oxide emissions,greenhouse gas build-up,request-2-6-2
greenhouse gas build-up,climate change,request-2-6-3
business,waste generation,request-2-7-0
waste generation,landfill methane emissions,request-2-7-1
landfill methane emissions,climate change,request-2-7-2
business,overfishing,request-2-8-0
overfishing,disruption of oceanic carbon sinks,request-2-8-1
disruption of oceanic carbon sinks,elevated co2 levels,request-2-8-2
elevated co2 levels,climate change,request-2-8-3
business,cement production,request-2-9-0
cement production,carbon dioxide release,request-2-9-1
carbon dioxide release,climate change,request-2-9-2
business,chemical manufacturing,request-2-10-0
chemical manufacturing,fluorinated gas emissions,request-2-10-1
fluorinated gas emissions,greenhouse effect enhancement,request-2-10-2
greenhouse effect enhancement,climate change,request-2-10-3
business,industrial deforestation,request-2-11-0
industrial deforestation,habitat loss,request-2-11-1
habitat loss,biodiversity decline,request-2-11-2
biodiversity decline,ecosystem imbalance,request-2-11-3
ecosystem imbalance,climate change,request-2-11-4
business,increased energy demand,request-2-12-0
increased energy demand,reliance on non-renewable resources,request-2-12-1
reliance on non-renewable resources,greenhouse gas emissions,request-2-12-2
greenhouse gas emissions,climate change,request-2-12-3
business,product distribution,request-2-13-0
product distribution,transportation emissions,request-2-13-1
transportation emissions,global warming,request-2-13-2
global warming,climate change,request-2-13-3
business,technological development,request-2-14-0
technological development,increased electricity usage,request-2-14-1
increased electricity usage,fossil fuel burning,request-2-14-2
fossil fuel burning,climate change,request-2-14-3
business,mining activities,request-2-15-0
mining activities,land degradation,request-2-15-1
land degradation,altered carbon cycles,request-2-15-2
altered carbon cycles,climate change,request-2-15-3
business,industrial refrigeration,request-2-16-0
industrial refrigeration,hydrofluorocarbon emissions,request-2-16-1
hydrofluorocarbon emissions,enhanced greenhouse effect,request-2-16-2
enhanced greenhouse effect,climate change,request-2-16-3
business,synthetic fertilizer production,request-2-17-0
synthetic fertilizer production,nitrous oxide emissions,request-2-17-1
nitrous oxide emissions,greenhouse gas accumulation,request-2-17-2
greenhouse gas accumulation,climate change,request-2-17-3
business,livestock farming,request-2-18-0
livestock farming,methane production,request-2-18-1
methane production,greenhouse gas increase,request-2-18-2
greenhouse gas increase,climate change,request-2-18-3
business,consumerism,request-2-19-0
consumerism,overproduction,request-2-19-1
overproduction,resource depletion,request-2-19-2
resource depletion,environmental stress,request-2-19-3
environmental stress,climate change,request-2-19-4
business,deforestation,request-3-0-0
deforestation,habitat loss,request-3-0-1
habitat loss,loss of biodiversity,request-3-0-2
business,industrial pollution,request-3-1-0
industrial pollution,environmental degradation,request-3-1-1
environmental degradation,loss of biodiversity,request-3-1-2
business,overfishing,request-3-2-0
