cause,effect,custom_id
companies and corporations,emit greenhouse gases,request-1-0-0
emit greenhouse gases,increase atmospheric concentration of greenhouse gases,request-1-0-1
increase atmospheric concentration of greenhouse gases,trap more heat in the earth's atmosphere,request-1-0-2
trap more heat in the earth's atmosphere,raise global temperatures,request-1-0-3
raise global temperatures,affect climate patterns,request-1-0-4
affect climate patterns,impact the climate,request-1-0-5
companies and corporations,engage in deforestation for resources,request-1-1-0
engage in deforestation for resources,reduce the number of trees available to absorb co2,request-1-1-1
reduce the number of trees available to absorb co2,increase co2 concentration in the atmosphere,request-1-1-2
increase co2 concentration in the atmosphere,trap more heat in the earth's atmosphere,request-1-1-3
trap more heat in the earth's atmosphere,raise global temperatures,request-1-1-4
raise global temperatures,affect climate patterns,request-1-1-5
affect climate patterns,impact the climate,request-1-1-6
companies and corporations,produce and sell products that consume energy,request-1-2-0
produce and sell products that consume energy,increase energy demand,request-1-2-1
increase energy demand,lead to more fossil fuel extraction and burning,request-1-2-2
lead to more fossil fuel extraction and burning,emit more greenhouse gases,request-1-2-3
emit more greenhouse gases,increase atmospheric concentration of greenhouse gases,request-1-2-4
increase atmospheric concentration of greenhouse gases,trap more heat in the earth's atmosphere,request-1-2-5
trap more heat in the earth's atmosphere,raise global temperatures,request-1-2-6
raise global temperatures,affect climate patterns,request-1-2-7
affect climate patterns,impact the climate,request-1-2-8
companies and corporations,engage in industrial agriculture,request-1-3-0
engage in industrial agriculture,release methane and nitrous oxide emissions,request-1-3-1
release methane and nitrous oxide emissions,increase concentration of these greenhouse gases in the atmosphere,request-1-3-2
increase concentration of these greenhouse gases in the atmosphere,trap more heat in the earth's atmosphere,request-1-3-3
trap more heat in the earth's atmosphere,raise global temperatures,request-1-3-4
raise global temperatures,affect climate patterns,request-1-3-5
affect climate patterns,impact the climate,request-1-3-6
companies and corporations,produce and sell products that require refrigeration,request-1-4-0
produce and sell products that require refrigeration,increase demand for refrigerants,request-1-4-1
increase demand for refrigerants,release hydrofluorocarbons  into the atmosphere,request-1-4-2
release hydrofluorocarbons  into the atmosphere,increase concentration of these greenhouse gases in the atmosphere,request-1-4-3
