custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-2-0-0,buying from companies that mess the climate,supporting companies that harm the environment,yes,yes
request-2-0-0,buying from companies that mess the climate,supporting companies that harm the environment,yes,yes
request-2-0-1,supporting companies that harm the environment,investing in companies with poor environmental practices,no,yes
request-2-0-1,supporting companies that harm the environment,investing in companies with poor environmental practices,no,yes
request-2-0-2,investing in companies with poor environmental practices,reinforcing the market presence of climatedamaging companies,yes,no
request-2-0-2,investing in companies with poor environmental practices,reinforcing the market presence of climatedamaging companies,yes,no
request-2-0-3,reinforcing the market presence of climatedamaging companies,keeping of climatedamaging companies,no,yes
request-2-0-3,reinforcing the market presence of climatedamaging companies,keeping of climatedamaging companies,no,yes
request-2-1-0,buying from companies that mess the climate,purchasing products from companies with high carbon footprints,no,no
request-2-1-0,buying from companies that mess the climate,purchasing products from companies with high carbon footprints,no,no
request-2-1-1,purchasing products from companies with high carbon footprints,contributing to the profitability of polluting industries,yes,no
request-2-1-1,purchasing products from companies with high carbon footprints,contributing to the profitability of polluting industries,yes,no
request-2-1-2,contributing to the profitability of polluting industries,encouraging continued operations of environmentally harmful companies,yes,yes
request-2-1-2,contributing to the profitability of polluting industries,encouraging continued operations of environmentally harmful companies,yes,yes
request-2-1-3,encouraging continued operations of environmentally harmful companies,keeping of climatedamaging companies,yes,yes
request-2-1-3,encouraging continued operations of environmentally harmful companies,keeping of climatedamaging companies,yes,yes
request-2-2-0,buying from companies that mess the climate,buying goods with unsustainable supply chains,yes,yes
request-2-2-0,buying from companies that mess the climate,buying goods with unsustainable supply chains,yes,yes
request-2-2-1,buying goods with unsustainable supply chains,facilitating the exploitation of natural resources,yes,no
request-2-2-1,buying goods with unsustainable supply chains,facilitating the exploitation of natural resources,yes,no
request-2-2-2,facilitating the exploitation of natural resources,promoting the expansion of industries that damage the climate,yes,yes
request-2-2-2,facilitating the exploitation of natural resources,promoting the expansion of industries that damage the climate,yes,yes
request-2-2-3,promoting the expansion of industries that damage the climate,keeping of climatedamaging companies,yes,yes
request-2-2-3,promoting the expansion of industries that damage the climate,keeping of climatedamaging companies,yes,yes
request-2-3-0,buying from companies that mess the climate,purchasing products from companies with unsustainable practices,no,yes
request-2-3-0,buying from companies that mess the climate,purchasing products from companies with unsustainable practices,no,yes
request-2-3-1,purchasing products from companies with unsustainable practices,funding the operations of environmentally harmful businesses,yes,no
request-2-3-1,purchasing products from companies with unsustainable practices,funding the operations of environmentally harmful businesses,yes,no
request-2-3-2,funding the operations of environmentally harmful businesses,maintaining the status quo of climatedamaging companies,yes,no
request-2-3-2,funding the operations of environmentally harmful businesses,maintaining the status quo of climatedamaging companies,yes,no
request-2-3-3,maintaining the status quo of climatedamaging companies,keeping of climatedamaging companies,yes,yes
request-2-3-3,maintaining the status quo of climatedamaging companies,keeping of climatedamaging companies,yes,yes
request-3-0-0,government implements policies to reduce carbon emissions,companies invest in renewable energy sources,yes,yes
request-3-0-0,government implements policies to reduce carbon emissions,companies invest in renewable energy sources,yes,yes
request-3-0-1,companies invest in renewable energy sources,renewable energy industry grows,yes,yes
request-3-0-1,companies invest in renewable energy sources,renewable energy industry grows,yes,yes
request-3-0-2,renewable energy industry grows,fossil fuel industry declines,yes,yes
request-3-0-2,renewable energy industry grows,fossil fuel industry declines,yes,yes
request-3-0-3,fossil fuel industry declines,global greenhouse gas emissions decrease,no,no
request-3-0-3,fossil fuel industry declines,global greenhouse gas emissions decrease,no,no
request-3-0-4,global greenhouse gas emissions decrease,climate change slows down,no,no
request-3-0-4,global greenhouse gas emissions decrease,climate change slows down,no,no
request-3-0-5,climate change slows down,progress in combating climate change is observed,no,no
