custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH,Does_cause_lead_to_effect_PASSIVE,Does_effect_lead_to_cause_SWITCH_PASSIVE
request-1-0-0,companies emit greenhouse gases,greenhouse gases accumulate in the atmosphere,yes,yes,yes,yes
request-1-0-1,greenhouse gases accumulate in the atmosphere,enhanced greenhouse effect,yes,no,yes,no
request-1-0-2,enhanced greenhouse effect,the climate is altered,yes,no,yes,no
request-1-1-0,corporations engage in deforestation,reduced carbon sequestration,yes,no,yes,yes
request-1-1-1,reduced carbon sequestration,increased atmospheric co₂ levels,yes,no,yes,no
request-1-1-2,increased atmospheric co₂ levels,the climate is affected,yes,yes,yes,no
request-1-2-0,companies industrialize production processes,increased energy consumption,yes,no,yes,no
request-1-2-1,increased energy consumption,higher fossil fuel usage,yes,no,yes,yes
request-1-2-2,higher fossil fuel usage,the climate changes,yes,no,yes,no
request-1-3-0,corporations produce industrial waste,pollution enters ecosystems,yes,yes,yes,yes
request-1-3-1,pollution enters ecosystems,disruption of natural carbon cycles,yes,yes,yes,yes
request-1-3-2,disruption of natural carbon cycles,the climate is impacted,yes,yes,yes,yes
request-1-4-0,companies develop and promote automobiles,increased vehicle emissions,yes,no,yes,yes
request-1-4-1,increased vehicle emissions,rise in air pollutants,yes,no,yes,no
request-1-4-2,rise in air pollutants,the climate is influenced,yes,yes,yes,yes
request-2-0-0,buying from companies that mess the climate,increased revenue for these companies,yes,yes,i cannot determine based on the information provided,yes
request-2-0-1,increased revenue for these companies,expansion of their market presence,yes,yes,yes,yes
request-2-0-2,expansion of their market presence,greater influence over industry standards,yes,yes,yes,cannot provide a 'yes' or 'no' answer without more information
request-2-0-3,greater influence over industry standards,maintenance and growth of climatedamaging practices,yes,yes,yes,yes
request-2-0-4,maintenance and growth of climatedamaging practices,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-1-0,buying from companies that mess the climate,higher sales volumes,no,no,no,yes
request-2-1-1,higher sales volumes,increased profitability,yes,no,yes,no
request-2-1-2,increased profitability,allocation of funds to harmful projects,no,yes,yes,no
request-2-1-3,allocation of funds to harmful projects,continuation of environmentally detrimental operations,yes,yes,yes,yes
request-2-1-4,continuation of environmentally detrimental operations,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-2-0,buying from companies that mess the climate,consumer preference for lowcost products,no,yes,no,yes
request-2-2-1,consumer preference for lowcost products,limited investment in sustainable alternatives,yes,"i'm sorry, but it's not possible to provide a simple 'yes' or 'no' answer to this question, as it involves multiple factors",yes,yes
request-2-2-2,limited investment in sustainable alternatives,persistence of unsustainable business models,yes,yes,yes,yes
request-2-2-3,persistence of unsustainable business models,ongoing environmental harm,yes,yes,yes,no
request-2-2-4,ongoing environmental harm,keeping of climatedamaging companies,no,yes,no,yes
request-2-3-0,buying from companies that mess the climate,enhanced financial stability for these companies,yes,yes,no,yes
request-2-3-1,enhanced financial stability for these companies,ability to resist regulatory changes,yes,no,yes,no
request-2-3-2,ability to resist regulatory changes,sustained climateunfriendly policies,yes,yes,yes,yes
request-2-3-3,sustained climateunfriendly policies,endurance of harmful business practices,yes,yes,yes,yes
request-2-3-4,endurance of harmful business practices,keeping of climatedamaging companies,yes,yes,yes,yes
request-2-4-0,buying from companies that mess the climate,market dominance of climatedamaging companies,yes,yes,yes,yes
request-2-4-1,market dominance of climatedamaging companies,reduced competition from sustainable businesses,yes,yes,yes,yes
request-2-4-2,reduced competition from sustainable businesses,lack of innovation in green technologies,yes,yes,no,no
request-2-4-3,lack of innovation in green technologies,continued reliance on harmful methods,yes,yes,yes,yes
request-2-4-4,continued reliance on harmful methods,keeping of climatedamaging companies,yes,yes,yes,yes
request-3-0-0,systemic change,policy reform,yes,yes,yes,yes
request-3-0-1,policy reform,renewable energy adoption,yes,yes,yes,yes
request-3-0-2,renewable energy adoption,progress in climate change,yes,yes,yes,yes
request-3-1-0,systemic change,economic incentives,yes,yes,yes,yes
request-3-1-1,economic incentives,emission reductions,yes,yes,yes,no
request-3-1-2,emission reductions,progress in climate change,yes,yes,yes,no
request-3-2-0,systemic change,educational initiatives,yes,yes,no,yes
request-3-2-1,educational initiatives,public awareness,yes,yes,yes,yes
request-3-2-2,public awareness,sustainable behavior,yes,no,yes,no
request-3-2-3,sustainable behavior,progress in climate change,yes,yes,yes,yes
request-3-3-0,systemic change,technological innovation,yes,yes,yes,yes
request-3-3-1,technological innovation,energy efficiency improvements,yes,yes,yes,no
request-3-3-2,energy efficiency improvements,progress in climate change,yes,yes,yes,yes
request-3-4-0,systemic change,legislative action,yes,yes,yes,yes
request-3-4-1,legislative action,carbon pricing,yes,yes,yes,no
request-3-4-2,carbon pricing,progress in climate change,yes,yes,no,no
request-3-5-0,systemic change,infrastructure development,yes,yes,yes,yes
request-3-5-1,infrastructure development,green transportation systems,yes,yes,yes,no
request-3-5-2,green transportation systems,progress in climate change,yes,yes,yes,yes
request-3-6-0,systemic change,international cooperation,yes,yes,yes,yes
request-3-6-1,international cooperation,global climate agreements,yes,yes,yes,no
request-3-6-2,global climate agreements,progress in climate change,yes,yes,yes,yes
request-3-7-0,systemic change,corporate responsibility,yes,yes,yes,no
request-3-7-1,corporate responsibility,green business practices,yes,no,yes,no
request-3-7-2,green business practices,progress in climate change,yes,yes,yes,no
request-4-0-0,ultra wealthy people,increased consumption of luxury goods,yes,no,yes,no
request-4-0-1,increased consumption of luxury goods,higher production demands,yes,yes,yes,no
request-4-0-2,higher production demands,increased manufacturing emissions,yes,no,yes,no
request-4-0-3,increased manufacturing emissions,more carbon footprint,yes,no,yes,no
request-4-1-0,ultra wealthy people,ownership of private jets,yes,no,yes,no
request-4-1-1,ownership of private jets,frequent air travel,yes,no,no,yes
request-4-1-2,frequent air travel,higher aviation emissions,yes,no,yes,no
request-4-1-3,higher aviation emissions,more carbon footprint,yes,no,yes,yes
request-4-2-0,ultra wealthy people,investment in large estates,yes,no,yes,no
request-4-2-1,investment in large estates,high energy usage for maintenance,yes,no,yes,no
request-4-2-2,high energy usage for maintenance,increased residential energy consumption,yes,yes,no,yes
request-4-2-3,increased residential energy consumption,more carbon footprint,yes,no,yes,no
request-4-3-0,ultra wealthy people,funding of energyintensive industries,yes,no,no,no
request-4-3-1,funding of energyintensive industries,expansion of industrial activities,yes,yes,yes,yes
request-4-3-2,expansion of industrial activities,higher industrial emissions,yes,no,yes,no
request-4-3-3,higher industrial emissions,more carbon footprint,yes,no,yes,yes
request-4-4-0,ultra wealthy people,ownership of multiple properties,yes,no,no,no
request-4-4-1,ownership of multiple properties,increased heating and cooling needs,yes,no,yes,no
request-4-4-2,increased heating and cooling needs,greater energy consumption,yes,no,yes,no
request-4-4-3,greater energy consumption,more carbon footprint,yes,no,yes,no
request-4-5-0,ultra wealthy people,support for luxury transportation services,yes,no,yes,no
request-4-5-1,support for luxury transportation services,increased use of highemission vehicles,yes,no,yes,no
request-4-5-2,increased use of highemission vehicles,higher transportation emissions,yes,no,yes,no
request-4-5-3,higher transportation emissions,more carbon footprint,yes,no,yes,no
request-4-6-0,ultra wealthy people,consumption of exotic foods,yes,no,no,no
request-4-6-1,consumption of exotic foods,intensive agricultural practices,yes,yes,yes,no
request-4-6-2,intensive agricultural practices,increased agricultural emissions,yes,no,yes,no
request-4-6-3,increased agricultural emissions,more carbon footprint,yes,no,yes,no
request-5-0-0,porks craddling into pools that often break loose,release of pollutants into the environment,no,"i'm sorry, but i don't understand your question could you please clarify?",yes,no
request-5-0-1,release of pollutants into the environment,contamination of water sources,yes,yes,yes,no
request-5-0-2,contamination of water sources,harm to aquatic life,yes,no,yes,yes
request-5-0-3,harm to aquatic life,disruption of ecosystems,yes,yes,yes,yes
request-5-0-4,disruption of ecosystems,massive environmental damage,yes,yes,yes,yes
request-5-1-0,porks craddling into pools that often break loose,spread of debris and pollutants,yes,"i'm sorry, but i need more information to provide an accurate answer",no,yes
request-5-1-1,spread of debris and pollutants,accumulation of harmful substances in the environment,yes,yes,yes,no
request-5-1-2,accumulation of harmful substances in the environment,toxin buildup in soil and water,yes,yes,yes,yes
request-5-1-3,toxin buildup in soil and water,negative impact on plant and animal health,yes,no,yes,yes
request-5-1-4,negative impact on plant and animal health,massive environmental damage,yes,yes,yes,yes
request-5-2-0,porks craddling into pools that often break loose,structural failures leading to spills,no,no,no,no
request-5-2-1,structural failures leading to spills,release of hazardous materials,yes,yes,yes,yes
request-5-2-2,release of hazardous materials,contamination of natural resources,yes,yes,yes,no
request-5-2-3,contamination of natural resources,longterm ecosystem degradation,yes,yes,yes,no
request-5-2-4,longterm ecosystem degradation,massive environmental damage,yes,yes,yes,yes
request-6-0-0,having fewer children,lower population growth,yes,no,yes,no
request-6-0-1,lower population growth,reduced resource consumption,yes,no,yes,no
request-6-0-2,reduced resource consumption,lower carbon footprint,yes,yes,yes,no
request-6-1-0,having fewer children,decreased energy demand,yes,no,yes,no
request-6-1-1,decreased energy demand,reduced fossil fuel usage,yes,no,yes,no
request-6-1-2,reduced fossil fuel usage,lower carbon footprint,yes,no,yes,no
request-6-2-0,having fewer children,smaller household sizes,yes,yes,yes,yes
request-6-2-1,smaller household sizes,less energy use in homes,yes,no,yes,no
request-6-2-2,less energy use in homes,lower carbon footprint,yes,no,yes,yes
request-6-3-0,having fewer children,lower food demand,yes,no,yes,no
request-6-3-1,lower food demand,reduced agricultural emissions,yes,no,yes,no
request-6-3-2,reduced agricultural emissions,lower carbon footprint,yes,no,yes,no
request-6-4-0,having fewer children,decreased transportation needs,yes,no,yes,no
request-6-4-1,decreased transportation needs,reduced vehicle emissions,yes,no,yes,no
request-6-4-2,reduced vehicle emissions,lower carbon footprint,yes,no,yes,no
request-6-5-0,having fewer children,increased per capita resource availability,yes,yes,yes,yes
request-6-5-1,increased per capita resource availability,more sustainable resource use,no,yes,no,no
request-6-5-2,more sustainable resource use,lower carbon footprint,yes,yes,yes,no
request-7-0-0,climate change,increased sea surface temperatures,yes,no,yes,no
request-7-0-1,increased sea surface temperatures,more intense hurricanes,yes,no,yes,no
request-7-0-2,more intense hurricanes,hurricane harvey severity,yes,no,no,no
request-7-0-3,hurricane harvey severity,increased flooding in houston,yes,no,yes,no
request-7-0-4,increased flooding in houston,doubling of flooded houston homes,no,no,yes,no
request-7-1-0,climate change,sea level rise,yes,no,yes,no
request-7-1-1,sea level rise,higher storm surges during hurricanes,yes,no,yes,no
request-7-1-2,higher storm surges during hurricanes,greater flood impact in houston,yes,no,yes,no
request-7-1-3,greater flood impact in houston,doubling of flooded houston homes,no,yes,yes,yes
request-7-2-0,climate change,altered precipitation patterns,yes,no,yes,no
request-7-2-1,altered precipitation patterns,increased rainfall during hurricane harvey,yes,yes,yes,no
request-7-2-2,increased rainfall during hurricane harvey,more extensive flooding in houston,yes,no,yes,no
request-7-2-3,more extensive flooding in houston,doubling of flooded houston homes,yes,no,yes,no
request-8-0-0,methane emissions,increased atmospheric methane concentration,yes,no,yes,no
request-8-0-1,increased atmospheric methane concentration,enhanced greenhouse effect,yes,yes,yes,no
request-8-0-2,enhanced greenhouse effect,global warming,yes,no,yes,no
request-8-0-3,global warming,environmental pollution,no,yes,no,yes
request-8-1-0,methane leakage,air quality degradation,yes,no,yes,no
request-8-1-1,air quality degradation,respiratory health pollution,yes,yes,yes,no
request-8-2-0,methane release from landfills,methane oxidation in the atmosphere,yes,no,no,no
request-8-2-1,methane oxidation in the atmosphere,ozone formation,yes,no,yes,no
request-8-2-2,ozone formation,smog pollution,yes,no,no,yes
request-8-3-0,methane from agricultural activities,livestock waste accumulation,no,yes,no,yes
request-8-3-1,livestock waste accumulation,methane generation,yes,no,yes,no
request-8-3-2,methane generation,soil and water pollution,yes,yes,no,no
request-9-0-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,release of methane from thawing ice,yes,no,no,no
request-9-0-1,release of methane from thawing ice,release of methane into the atmosphere,yes,yes,yes,yes
request-9-1-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,destabilization of methane hydrates,yes,yes,no,yes
request-9-1-1,destabilization of methane hydrates,release of methane into the atmosphere,yes,yes,yes,no
request-9-2-0,melting of antarctic ice and methane pockets unabsorbed by microorganisms,exposure of methane to atmospheric conditions,yes,no,no,no
request-9-2-1,exposure of methane to atmospheric conditions,release of methane into the atmosphere,yes,yes,no,yes
request-10-0-0,lunar wobble,altered tidal forces,yes,yes,no,yes
request-10-0-1,altered tidal forces,increased sea levels,no,no,no,no
request-10-0-2,increased sea levels,coastal flooding in the 2030s,yes,no,yes,no
request-10-0-3,coastal flooding in the 2030s,changes in the coastline,yes,yes,yes,yes
request-10-1-0,lunar wobble,variations in earth's rotation,yes,no,yes,no
request-10-1-1,variations in earth's rotation,climate changes,yes,yes,no,yes
request-10-1-2,climate changes,sealevel rise,yes,no,yes,no
request-10-1-3,sealevel rise,coastal flooding in the 2030s,yes,no,yes,no
request-10-1-4,coastal flooding in the 2030s,changes in the coastline,yes,yes,yes,no
request-10-2-0,lunar wobble,gravitational fluctuations,yes,no,no,yes
request-10-2-1,gravitational fluctuations,increased storm intensity,no,no,no,no
