custom_id,cause,effect,Does_cause_lead_to_effect,Does_effect_lead_to_cause_SWITCH
request-1-0-0,cities' burden on distal resource suppliers,increased extraction of resources from distant suppliers,yes,yes
request-1-0-1,increased extraction of resources from distant suppliers,depletion of natural resources at the source,yes,yes
request-1-0-2,depletion of natural resources at the source,disruption of local ecosystems at the source,yes,yes
request-1-0-3,disruption of local ecosystems at the source,reduced capacity for natural resource regeneration,yes,yes
request-1-0-4,reduced capacity for natural resource regeneration,insufficient resources to meet city demands,yes,yes
request-1-0-5,insufficient resources to meet city demands,"overexploitation of alternative, closer resources",yes,yes
request-1-0-6,"overexploitation of alternative, closer resources",environmental degradation in and around cities,yes,yes
request-1-0-7,environmental degradation in and around cities,environmental deficits in cities,yes,yes
request-1-1-0,cities' burden on distal resource suppliers,increased transportation of resources to cities,yes,yes
request-1-1-1,increased transportation of resources to cities,higher emissions from transportation,yes,no
request-1-1-2,higher emissions from transportation,air pollution in cities and along transport routes,yes,no
request-1-1-3,air pollution in cities and along transport routes,negative health impacts on urban populations,yes,no
request-1-1-4,negative health impacts on urban populations,increased waste generation from resource use,yes,yes
request-1-1-5,increased waste generation from resource use,inadequate waste management infrastructure,yes,no
request-1-1-6,inadequate waste management infrastructure,accumulation of waste in urban environments,yes,yes
request-1-1-7,accumulation of waste in urban environments,pollution of urban ecosystems,yes,yes
request-1-1-8,pollution of urban ecosystems,environmental deficits in cities,yes,yes
request-1-2-0,cities' burden on distal resource suppliers,overextraction of water from distant sources,yes,yes
request-1-2-1,overextraction of water from distant sources,reduced water tables at the source,yes,yes
request-1-2-2,reduced water tables at the source,decreased water availability for ecosystems and local communities,yes,yes
request-1-2-3,decreased water availability for ecosystems and local communities,water scarcity in regions supplying cities,yes,yes
request-1-2-4,water scarcity in regions supplying cities,increased costs and energy for water transportation,yes,yes
request-1-2-5,increased costs and energy for water transportation,inefficient water use in cities due to scarcity mindset,yes,yes
request-1-2-6,inefficient water use in cities due to scarcity mindset,wastewater generation and improper disposal,yes,yes
request-1-2-7,wastewater generation and improper disposal,contamination of local water sources in cities,yes,yes
request-1-2-8,contamination of local water sources in cities,environmental deficits in cities,yes,yes
request-1-3-0,cities' burden on distal resource suppliers,habitat destruction at resource extraction sites,yes,yes
request-1-3-1,habitat destruction at resource extraction sites,loss of biodiversity in distant ecosystems,yes,no
request-1-3-2,loss of biodiversity in distant ecosystems,disruption of ecosystem services,yes,yes
request-1-3-3,disruption of ecosystem services,reduced resilience of natural systems to support resource needs,yes,yes
